vtx-F04-n52-n5-n3	Δ = -52	bi.bi = -5	b0.bi = -3	
vtx-F04-338-10-12	Δ = 338	bi.bi = 10	b0.bi = 12	15 x (irr-F4-26)
vtx-F04-338-13-13	Δ = 338	bi.bi = 13	b0.bi = 13	13 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-338-16-14	Δ = 338	bi.bi = 16	b0.bi = 14	11 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-338-19-15	Δ = 338	bi.bi = 19	b0.bi = 15	9 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-338-22-16	Δ = 338	bi.bi = 22	b0.bi = 16	7 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-338-25-17	Δ = 338	bi.bi = 25	b0.bi = 17	5 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-338-28-18	Δ = 338	bi.bi = 28	b0.bi = 18	3 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-338-31-19	Δ = 338	bi.bi = 31	b0.bi = 19	1 x (irr-F4-26) + 7 x (irr-F4-52)
vtx-F04-350-67-27	Δ = 350	bi.bi = 67	b0.bi = 27	3 x (irr-F4-26) + 1 x (irr-F4-324)
vtx-F04-350-70-28	Δ = 350	bi.bi = 70	b0.bi = 28	1 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-351-49-23	Δ = 351	bi.bi = 49	b0.bi = 23	5 x (irr-F4-26) + 1 x (irr-F4-273)
vtx-F04-351-52-24	Δ = 351	bi.bi = 52	b0.bi = 24	3 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-351-55-25	Δ = 351	bi.bi = 55	b0.bi = 25	1 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-364-11-13	Δ = 364	bi.bi = 11	b0.bi = 13	16 x (irr-F4-26)
vtx-F04-364-14-14	Δ = 364	bi.bi = 14	b0.bi = 14	14 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-364-17-15	Δ = 364	bi.bi = 17	b0.bi = 15	12 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-364-20-16	Δ = 364	bi.bi = 20	b0.bi = 16	10 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-364-23-17	Δ = 364	bi.bi = 23	b0.bi = 17	8 x (irr-F4-26) + 4 x (irr-F4-52)
