vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	
vtx-D04-103-20-8	Δ = 103	bi.bi = 20	b0.bi = 8	4 x (irr-D4-8a) + 1 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-104-10-6	Δ = 104	bi.bi = 10	b0.bi = 6	2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 3 x (irr-D4-28)
vtx-D04-105-28-10	Δ = 105	bi.bi = 28	b0.bi = 10	1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-106-28-10	Δ = 106	bi.bi = 28	b0.bi = 10	1 x (irr-D4-8a) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-108-13-7	Δ = 108	bi.bi = 13	b0.bi = 7	1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 4 x (irr-D4-28)
vtx-D04-112-16-8	Δ = 112	bi.bi = 16	b0.bi = 8	5 x (irr-D4-28)
vtx-D04-116-2-4	Δ = 116	bi.bi = 2	b0.bi = 4	6 x (irr-D4-8a) + 12 x (irr-D4-8b)
vtx-D04-119-10-6	Δ = 119	bi.bi = 10	b0.bi = 6	10 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-35b)
vtx-D04-120-5-5	Δ = 120	bi.bi = 5	b0.bi = 5	5 x (irr-D4-8a) + 10 x (irr-D4-8b) + 1 x (irr-D4-28)
vtx-D04-123-13-7	Δ = 123	bi.bi = 13	b0.bi = 7	9 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-124-8-6	Δ = 124	bi.bi = 8	b0.bi = 6	4 x (irr-D4-8a) + 8 x (irr-D4-8b) + 2 x (irr-D4-28)
vtx-D04-124-13-7-a	Δ = 124	bi.bi = 13	b0.bi = 7	1 x (irr-D4-8a) + 11 x (irr-D4-8b) + 1 x (irr-D4-56a)
vtx-D04-124-13-7-b	Δ = 124	bi.bi = 13	b0.bi = 7	10 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-56b)
vtx-D04-125-26-10	Δ = 125	bi.bi = 26	b0.bi = 10	2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-127-16-8	Δ = 127	bi.bi = 16	b0.bi = 8	8 x (irr-D4-8a) + 2 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-127-21-9	Δ = 127	bi.bi = 21	b0.bi = 9	5 x (irr-D4-8a) + 3 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-128-11-7	Δ = 128	bi.bi = 11	b0.bi = 7	3 x (irr-D4-8a) + 6 x (irr-D4-8b) + 3 x (irr-D4-28)
vtx-D04-128-16-8-a	Δ = 128	bi.bi = 16	b0.bi = 8	9 x (irr-D4-8a) + 1 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-128-16-8-b	Δ = 128	bi.bi = 16	b0.bi = 8	9 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-129-29-11	Δ = 129	bi.bi = 29	b0.bi = 11	1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-130-29-11	Δ = 130	bi.bi = 29	b0.bi = 11	2 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-131-24-10	Δ = 131	bi.bi = 24	b0.bi = 10	4 x (irr-D4-8a) + 1 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-132-14-8	Δ = 132	bi.bi = 14	b0.bi = 8	2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 4 x (irr-D4-28)
vtx-D04-132-24-10	Δ = 132	bi.bi = 24	b0.bi = 10	5 x (irr-D4-8a) + 1 x (irr-D4-8b) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-133-32-12	Δ = 133	bi.bi = 32	b0.bi = 12	2 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-134-32-12	Δ = 134	bi.bi = 32	b0.bi = 12	1 x (irr-D4-8a) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-135-32-12-a	Δ = 135	bi.bi = 32	b0.bi = 12	2 x (irr-D4-8a) + 1 x (irr-D4-35a) + 2 x (irr-D4-56b)
vtx-D04-135-32-12-b	Δ = 135	bi.bi = 32	b0.bi = 12	2 x (irr-D4-8b) + 1 x (irr-D4-35b) + 2 x (irr-D4-56a)
vtx-D04-136-17-9	Δ = 136	bi.bi = 17	b0.bi = 9	1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 5 x (irr-D4-28)
vtx-D04-140-3-5	Δ = 140	bi.bi = 3	b0.bi = 5	7 x (irr-D4-8a) + 14 x (irr-D4-8b)
vtx-D04-140-20-10	Δ = 140	bi.bi = 20	b0.bi = 10	6 x (irr-D4-28)
vtx-D04-140-35-13	Δ = 140	bi.bi = 35	b0.bi = 13	2 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-143-11-7	Δ = 143	bi.bi = 11	b0.bi = 7	11 x (irr-D4-8a) + 6 x (irr-D4-8b) + 1 x (irr-D4-35b)
vtx-D04-144-6-6	Δ = 144	bi.bi = 6	b0.bi = 6	6 x (irr-D4-8a) + 12 x (irr-D4-8b) + 1 x (irr-D4-28)
vtx-D04-147-14-8	Δ = 147	bi.bi = 14	b0.bi = 8	10 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-148-9-7	Δ = 148	bi.bi = 9	b0.bi = 7	5 x (irr-D4-8a) + 10 x (irr-D4-8b) + 2 x (irr-D4-28)
vtx-D04-148-14-8-a	Δ = 148	bi.bi = 14	b0.bi = 8	11 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-56b)
vtx-D04-148-14-8-b	Δ = 148	bi.bi = 14	b0.bi = 8	2 x (irr-D4-8a) + 13 x (irr-D4-8b) + 1 x (irr-D4-56a)
vtx-D04-149-27-11	Δ = 149	bi.bi = 27	b0.bi = 11	3 x (irr-D4-8a) + 6 x (irr-D4-8b) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-151-17-9	Δ = 151	bi.bi = 17	b0.bi = 9	9 x (irr-D4-8a) + 2 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-151-22-10	Δ = 151	bi.bi = 22	b0.bi = 10	6 x (irr-D4-8a) + 5 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-152-12-8	Δ = 152	bi.bi = 12	b0.bi = 8	4 x (irr-D4-8a) + 8 x (irr-D4-8b) + 3 x (irr-D4-28)
vtx-D04-152-17-9-a	Δ = 152	bi.bi = 17	b0.bi = 9	10 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-152-17-9-b	Δ = 152	bi.bi = 17	b0.bi = 9	1 x (irr-D4-8a) + 11 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-153-30-12	Δ = 153	bi.bi = 30	b0.bi = 12	2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-154-30-12	Δ = 154	bi.bi = 30	b0.bi = 12	3 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-155-20-10	Δ = 155	bi.bi = 20	b0.bi = 10	8 x (irr-D4-8a) + 3 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-155-25-11	Δ = 155	bi.bi = 25	b0.bi = 11	5 x (irr-D4-8a) + 3 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-156-15-9	Δ = 156	bi.bi = 15	b0.bi = 9	3 x (irr-D4-8a) + 6 x (irr-D4-8b) + 4 x (irr-D4-28)
vtx-D04-156-20-10-a	Δ = 156	bi.bi = 20	b0.bi = 10	9 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-156-20-10-b	Δ = 156	bi.bi = 20	b0.bi = 10	9 x (irr-D4-8a) + 2 x (irr-D4-28) + 1 x (irr-D4-56b)
