vtx-D06-n18-n4-n2	Δ = -18	bi.bi = -4	b0.bi = -2	4 x (irr-D6-12)
vtx-D06-518-38-24-a	Δ = 518	bi.bi = 38	b0.bi = 24	14 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-518-38-24-b	Δ = 518	bi.bi = 38	b0.bi = 24	17 x (irr-D6-12) + 10 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-519-25-21	Δ = 519	bi.bi = 25	b0.bi = 21	9 x (irr-D6-12) + 25 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-520-32-24	Δ = 520	bi.bi = 32	b0.bi = 24	16 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-522-22-20	Δ = 522	bi.bi = 22	b0.bi = 20	14 x (irr-D6-12) + 18 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-522-61-31-a	Δ = 522	bi.bi = 61	b0.bi = 31	8 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-522-61-31-b	Δ = 522	bi.bi = 61	b0.bi = 31	5 x (irr-D6-12) + 11 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-522-61-31-c	Δ = 522	bi.bi = 61	b0.bi = 31	11 x (irr-D6-12) + 1 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-523-48-28-a	Δ = 523	bi.bi = 48	b0.bi = 28	3 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-523-48-28-b	Δ = 523	bi.bi = 48	b0.bi = 28	21 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-526-45-27-a	Δ = 526	bi.bi = 45	b0.bi = 27	5 x (irr-D6-12) + 14 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-526-45-27-b	Δ = 526	bi.bi = 45	b0.bi = 27	8 x (irr-D6-12) + 9 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-527-32-24	Δ = 527	bi.bi = 32	b0.bi = 24	24 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-530-29-23	Δ = 530	bi.bi = 29	b0.bi = 23	5 x (irr-D6-12) + 17 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-530-68-34	Δ = 530	bi.bi = 68	b0.bi = 34	2 x (irr-D6-12) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-532-19-19	Δ = 532	bi.bi = 19	b0.bi = 19	19 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-536-42-26-a	Δ = 536	bi.bi = 42	b0.bi = 26	13 x (irr-D6-12) + 10 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-536-42-26-b	Δ = 536	bi.bi = 42	b0.bi = 26	10 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-537-29-23	Δ = 537	bi.bi = 29	b0.bi = 23	5 x (irr-D6-12) + 25 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-540-26-22	Δ = 540	bi.bi = 26	b0.bi = 22	10 x (irr-D6-12) + 18 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-540-65-33-a	Δ = 540	bi.bi = 65	b0.bi = 33	7 x (irr-D6-12) + 1 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-540-65-33-b	Δ = 540	bi.bi = 65	b0.bi = 33	4 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-540-65-33-c	Δ = 540	bi.bi = 65	b0.bi = 33	1 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-542-16-18	Δ = 542	bi.bi = 16	b0.bi = 18	24 x (irr-D6-12) + 20 x (irr-D6-32-h)
vtx-D06-544-49-29-a	Δ = 544	bi.bi = 49	b0.bi = 29	1 x (irr-D6-12) + 14 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-544-49-29-b	Δ = 544	bi.bi = 49	b0.bi = 29	4 x (irr-D6-12) + 9 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-546-39-25-a	Δ = 546	bi.bi = 39	b0.bi = 25	18 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-546-39-25-b	Δ = 546	bi.bi = 39	b0.bi = 25	15 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-547-26-22	Δ = 547	bi.bi = 26	b0.bi = 22	10 x (irr-D6-12) + 26 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-548-33-25	Δ = 548	bi.bi = 33	b0.bi = 25	1 x (irr-D6-12) + 17 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-550-23-21	Δ = 550	bi.bi = 23	b0.bi = 21	15 x (irr-D6-12) + 19 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-550-62-32-a	Δ = 550	bi.bi = 62	b0.bi = 32	9 x (irr-D6-12) + 7 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-550-62-32-b	Δ = 550	bi.bi = 62	b0.bi = 32	6 x (irr-D6-12) + 12 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-550-62-32-c	Δ = 550	bi.bi = 62	b0.bi = 32	12 x (irr-D6-12) + 2 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-551-49-29-a	Δ = 551	bi.bi = 49	b0.bi = 29	1 x (irr-D6-12) + 22 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-551-49-29-b	Δ = 551	bi.bi = 49	b0.bi = 29	4 x (irr-D6-12) + 17 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-554-46-28-a	Δ = 554	bi.bi = 46	b0.bi = 28	6 x (irr-D6-12) + 15 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-554-46-28-b	Δ = 554	bi.bi = 46	b0.bi = 28	9 x (irr-D6-12) + 10 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-554-85-39	Δ = 554	bi.bi = 85	b0.bi = 39	3 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-555-33-25	Δ = 555	bi.bi = 33	b0.bi = 25	1 x (irr-D6-12) + 25 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-558-30-24	Δ = 558	bi.bi = 30	b0.bi = 24	6 x (irr-D6-12) + 18 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-558-69-35-a	Δ = 558	bi.bi = 69	b0.bi = 35	3 x (irr-D6-12) + 1 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-558-69-35-b	Δ = 558	bi.bi = 69	b0.bi = 35	6 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-560-20-20	Δ = 560	bi.bi = 20	b0.bi = 20	20 x (irr-D6-12) + 20 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-562-53-31	Δ = 562	bi.bi = 53	b0.bi = 31	9 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-564-43-27-a	Δ = 564	bi.bi = 43	b0.bi = 27	11 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-564-43-27-b	Δ = 564	bi.bi = 43	b0.bi = 27	14 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-565-30-24	Δ = 565	bi.bi = 30	b0.bi = 24	6 x (irr-D6-12) + 26 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-568-27-23	Δ = 568	bi.bi = 27	b0.bi = 23	11 x (irr-D6-12) + 19 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-568-66-34-a	Δ = 568	bi.bi = 66	b0.bi = 34	2 x (irr-D6-12) + 12 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-568-66-34-b	Δ = 568	bi.bi = 66	b0.bi = 34	8 x (irr-D6-12) + 2 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-568-66-34-c	Δ = 568	bi.bi = 66	b0.bi = 34	5 x (irr-D6-12) + 7 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-569-53-31	Δ = 569	bi.bi = 53	b0.bi = 31	17 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-570-17-19	Δ = 570	bi.bi = 17	b0.bi = 19	25 x (irr-D6-12) + 21 x (irr-D6-32-h)
vtx-D06-572-50-30-a	Δ = 572	bi.bi = 50	b0.bi = 30	2 x (irr-D6-12) + 15 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-572-50-30-b	Δ = 572	bi.bi = 50	b0.bi = 30	5 x (irr-D6-12) + 10 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-574-40-26-a	Δ = 574	bi.bi = 40	b0.bi = 26	19 x (irr-D6-12) + 12 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-574-40-26-b	Δ = 574	bi.bi = 40	b0.bi = 26	16 x (irr-D6-12) + 17 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-575-27-23	Δ = 575	bi.bi = 27	b0.bi = 23	11 x (irr-D6-12) + 27 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-576-34-26	Δ = 576	bi.bi = 34	b0.bi = 26	2 x (irr-D6-12) + 18 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-578-24-22	Δ = 578	bi.bi = 24	b0.bi = 22	16 x (irr-D6-12) + 20 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-578-63-33-a	Δ = 578	bi.bi = 63	b0.bi = 33	10 x (irr-D6-12) + 8 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-578-63-33-b	Δ = 578	bi.bi = 63	b0.bi = 33	7 x (irr-D6-12) + 13 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-578-63-33-c	Δ = 578	bi.bi = 63	b0.bi = 33	13 x (irr-D6-12) + 3 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-579-50-30-a	Δ = 579	bi.bi = 50	b0.bi = 30	5 x (irr-D6-12) + 18 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-579-50-30-b	Δ = 579	bi.bi = 50	b0.bi = 30	2 x (irr-D6-12) + 23 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-582-47-29-a	Δ = 582	bi.bi = 47	b0.bi = 29	10 x (irr-D6-12) + 11 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-582-47-29-b	Δ = 582	bi.bi = 47	b0.bi = 29	7 x (irr-D6-12) + 16 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-582-86-40	Δ = 582	bi.bi = 86	b0.bi = 40	1 x (irr-D6-12) + 4 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-583-34-26	Δ = 583	bi.bi = 34	b0.bi = 26	2 x (irr-D6-12) + 26 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-586-31-25	Δ = 586	bi.bi = 31	b0.bi = 25	7 x (irr-D6-12) + 19 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-586-70-36-a	Δ = 586	bi.bi = 70	b0.bi = 36	4 x (irr-D6-12) + 2 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-586-70-36-b	Δ = 586	bi.bi = 70	b0.bi = 36	1 x (irr-D6-12) + 7 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-588-21-21	Δ = 588	bi.bi = 21	b0.bi = 21	21 x (irr-D6-12) + 21 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-590-54-32	Δ = 590	bi.bi = 54	b0.bi = 32	1 x (irr-D6-12) + 10 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-592-44-28-a	Δ = 592	bi.bi = 44	b0.bi = 28	12 x (irr-D6-12) + 17 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-592-44-28-b	Δ = 592	bi.bi = 44	b0.bi = 28	15 x (irr-D6-12) + 12 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-593-31-25	Δ = 593	bi.bi = 31	b0.bi = 25	7 x (irr-D6-12) + 27 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-596-28-24	Δ = 596	bi.bi = 28	b0.bi = 24	12 x (irr-D6-12) + 20 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-596-67-35-a	Δ = 596	bi.bi = 67	b0.bi = 35	3 x (irr-D6-12) + 13 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-596-67-35-b	Δ = 596	bi.bi = 67	b0.bi = 35	6 x (irr-D6-12) + 8 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-596-67-35-c	Δ = 596	bi.bi = 67	b0.bi = 35	9 x (irr-D6-12) + 3 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-597-54-32	Δ = 597	bi.bi = 54	b0.bi = 32	1 x (irr-D6-12) + 18 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-598-18-20	Δ = 598	bi.bi = 18	b0.bi = 20	26 x (irr-D6-12) + 22 x (irr-D6-32-h)
vtx-D06-600-51-31-a	Δ = 600	bi.bi = 51	b0.bi = 31	3 x (irr-D6-12) + 16 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-600-51-31-b	Δ = 600	bi.bi = 51	b0.bi = 31	6 x (irr-D6-12) + 11 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-602-41-27-a	Δ = 602	bi.bi = 41	b0.bi = 27	20 x (irr-D6-12) + 13 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-602-41-27-b	Δ = 602	bi.bi = 41	b0.bi = 27	17 x (irr-D6-12) + 18 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-603-28-24	Δ = 603	bi.bi = 28	b0.bi = 24	12 x (irr-D6-12) + 28 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-604-35-27	Δ = 604	bi.bi = 35	b0.bi = 27	3 x (irr-D6-12) + 19 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-604-74-38	Δ = 604	bi.bi = 74	b0.bi = 38	2 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-606-25-23	Δ = 606	bi.bi = 25	b0.bi = 23	17 x (irr-D6-12) + 21 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-606-64-34-a	Δ = 606	bi.bi = 64	b0.bi = 34	8 x (irr-D6-12) + 14 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-606-64-34-b	Δ = 606	bi.bi = 64	b0.bi = 34	14 x (irr-D6-12) + 4 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-606-64-34-c	Δ = 606	bi.bi = 64	b0.bi = 34	11 x (irr-D6-12) + 9 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-607-51-31-a	Δ = 607	bi.bi = 51	b0.bi = 31	3 x (irr-D6-12) + 24 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-607-51-31-b	Δ = 607	bi.bi = 51	b0.bi = 31	6 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-610-48-30-a	Δ = 610	bi.bi = 48	b0.bi = 30	11 x (irr-D6-12) + 12 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-610-48-30-b	Δ = 610	bi.bi = 48	b0.bi = 30	8 x (irr-D6-12) + 17 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-610-87-41-a	Δ = 610	bi.bi = 87	b0.bi = 41	5 x (irr-D6-12) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-610-87-41-b	Δ = 610	bi.bi = 87	b0.bi = 41	2 x (irr-D6-12) + 5 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-611-35-27	Δ = 611	bi.bi = 35	b0.bi = 27	3 x (irr-D6-12) + 27 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-611-74-38	Δ = 611	bi.bi = 74	b0.bi = 38	10 x (irr-D6-32-h) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
vtx-D06-614-32-26	Δ = 614	bi.bi = 32	b0.bi = 26	8 x (irr-D6-12) + 20 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-614-71-37-a	Δ = 614	bi.bi = 71	b0.bi = 37	5 x (irr-D6-12) + 3 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-614-71-37-b	Δ = 614	bi.bi = 71	b0.bi = 37	2 x (irr-D6-12) + 8 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-616-22-22	Δ = 616	bi.bi = 22	b0.bi = 22	22 x (irr-D6-12) + 22 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-618-55-33	Δ = 618	bi.bi = 55	b0.bi = 33	2 x (irr-D6-12) + 11 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-620-45-29-a	Δ = 620	bi.bi = 45	b0.bi = 29	16 x (irr-D6-12) + 13 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-620-45-29-b	Δ = 620	bi.bi = 45	b0.bi = 29	13 x (irr-D6-12) + 18 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-621-32-26	Δ = 621	bi.bi = 32	b0.bi = 26	8 x (irr-D6-12) + 28 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-624-29-25	Δ = 624	bi.bi = 29	b0.bi = 25	13 x (irr-D6-12) + 21 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-624-68-36-a	Δ = 624	bi.bi = 68	b0.bi = 36	4 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-624-68-36-b	Δ = 624	bi.bi = 68	b0.bi = 36	7 x (irr-D6-12) + 9 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-624-68-36-c	Δ = 624	bi.bi = 68	b0.bi = 36	10 x (irr-D6-12) + 4 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-625-55-33	Δ = 625	bi.bi = 55	b0.bi = 33	2 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-626-19-21	Δ = 626	bi.bi = 19	b0.bi = 21	27 x (irr-D6-12) + 23 x (irr-D6-32-h)
vtx-D06-628-52-32-a	Δ = 628	bi.bi = 52	b0.bi = 32	4 x (irr-D6-12) + 17 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-628-52-32-b	Δ = 628	bi.bi = 52	b0.bi = 32	7 x (irr-D6-12) + 12 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-628-91-43	Δ = 628	bi.bi = 91	b0.bi = 43	1 x (irr-D6-12) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-630-42-28-a	Δ = 630	bi.bi = 42	b0.bi = 28	21 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-630-42-28-b	Δ = 630	bi.bi = 42	b0.bi = 28	18 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-631-29-25	Δ = 631	bi.bi = 29	b0.bi = 25	13 x (irr-D6-12) + 29 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-632-36-28	Δ = 632	bi.bi = 36	b0.bi = 28	4 x (irr-D6-12) + 20 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-632-75-39	Δ = 632	bi.bi = 75	b0.bi = 39	1 x (irr-D6-12) + 3 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-634-26-24	Δ = 634	bi.bi = 26	b0.bi = 24	18 x (irr-D6-12) + 22 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-634-65-35-a	Δ = 634	bi.bi = 65	b0.bi = 35	15 x (irr-D6-12) + 5 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-634-65-35-b	Δ = 634	bi.bi = 65	b0.bi = 35	12 x (irr-D6-12) + 10 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-634-65-35-c	Δ = 634	bi.bi = 65	b0.bi = 35	9 x (irr-D6-12) + 15 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-635-52-32-a	Δ = 635	bi.bi = 52	b0.bi = 32	4 x (irr-D6-12) + 25 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-635-52-32-b	Δ = 635	bi.bi = 52	b0.bi = 32	7 x (irr-D6-12) + 20 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-638-49-31-a	Δ = 638	bi.bi = 49	b0.bi = 31	12 x (irr-D6-12) + 13 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-638-49-31-b	Δ = 638	bi.bi = 49	b0.bi = 31	9 x (irr-D6-12) + 18 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-638-88-42-a	Δ = 638	bi.bi = 88	b0.bi = 42	11 x (irr-D6-32-h) + 3 x (irr-D6-352a-h)
vtx-D06-638-88-42-b	Δ = 638	bi.bi = 88	b0.bi = 42	3 x (irr-D6-12) + 6 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-638-88-42-c	Δ = 638	bi.bi = 88	b0.bi = 42	6 x (irr-D6-12) + 1 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-639-36-28	Δ = 639	bi.bi = 36	b0.bi = 28	4 x (irr-D6-12) + 28 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-639-75-39	Δ = 639	bi.bi = 75	b0.bi = 39	1 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
vtx-D06-642-33-27	Δ = 642	bi.bi = 33	b0.bi = 27	9 x (irr-D6-12) + 21 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-642-72-38-a	Δ = 642	bi.bi = 72	b0.bi = 38	14 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-642-72-38-b	Δ = 642	bi.bi = 72	b0.bi = 38	6 x (irr-D6-12) + 4 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-642-72-38-c	Δ = 642	bi.bi = 72	b0.bi = 38	3 x (irr-D6-12) + 9 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-644-23-23	Δ = 644	bi.bi = 23	b0.bi = 23	23 x (irr-D6-12) + 23 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-646-56-34-a	Δ = 646	bi.bi = 56	b0.bi = 34	3 x (irr-D6-12) + 12 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-646-56-34-b	Δ = 646	bi.bi = 56	b0.bi = 34	17 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-648-46-30-a	Δ = 648	bi.bi = 46	b0.bi = 30	17 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-648-46-30-b	Δ = 648	bi.bi = 46	b0.bi = 30	14 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-649-33-27	Δ = 649	bi.bi = 33	b0.bi = 27	9 x (irr-D6-12) + 29 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-650-40-30	Δ = 650	bi.bi = 40	b0.bi = 30	20 x (irr-D6-32-h) + 6 x (irr-D6-66)
vtx-D06-652-30-26	Δ = 652	bi.bi = 30	b0.bi = 26	14 x (irr-D6-12) + 22 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-652-69-37-a	Δ = 652	bi.bi = 69	b0.bi = 37	8 x (irr-D6-12) + 10 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-652-69-37-b	Δ = 652	bi.bi = 69	b0.bi = 37	5 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
