vtx-D07-n7-n4-n2	Δ = -7	bi.bi = -4	b0.bi = -2	6 x (irr-D7-14)
vtx-D07-487-20-18	Δ = 487	bi.bi = 20	b0.bi = 18	10 x (irr-D7-14) + 4 x (irr-D7-64) + 2 x (irr-D7-91)
vtx-D07-494-24-20	Δ = 494	bi.bi = 24	b0.bi = 20	4 x (irr-D7-14) + 4 x (irr-D7-64) + 3 x (irr-D7-91)
vtx-D07-509-24-20	Δ = 509	bi.bi = 24	b0.bi = 20	8 x (irr-D7-14) + 6 x (irr-D7-64) + 1 x (irr-D7-104)
vtx-D07-513-44-26	Δ = 513	bi.bi = 44	b0.bi = 26	8 x (irr-D7-14) + 2 x (irr-D7-64) + 1 x (irr-D7-364)
vtx-D07-516-28-22	Δ = 516	bi.bi = 28	b0.bi = 22	2 x (irr-D7-14) + 6 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-104)
vtx-D07-520-48-28	Δ = 520	bi.bi = 48	b0.bi = 28	2 x (irr-D7-14) + 2 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-364)
vtx-D07-593-16-18	Δ = 593	bi.bi = 16	b0.bi = 18	26 x (irr-D7-14) + 5 x (irr-D7-64)
vtx-D07-600-20-20	Δ = 600	bi.bi = 20	b0.bi = 20	20 x (irr-D7-14) + 5 x (irr-D7-64) + 1 x (irr-D7-91)
vtx-D07-607-24-22	Δ = 607	bi.bi = 24	b0.bi = 22	14 x (irr-D7-14) + 5 x (irr-D7-64) + 2 x (irr-D7-91)
vtx-D07-614-28-24	Δ = 614	bi.bi = 28	b0.bi = 24	8 x (irr-D7-14) + 5 x (irr-D7-64) + 3 x (irr-D7-91)
vtx-D07-621-32-26	Δ = 621	bi.bi = 32	b0.bi = 26	2 x (irr-D7-14) + 5 x (irr-D7-64) + 4 x (irr-D7-91)
vtx-D07-629-28-24	Δ = 629	bi.bi = 28	b0.bi = 24	12 x (irr-D7-14) + 7 x (irr-D7-64) + 1 x (irr-D7-104)
vtx-D07-633-48-30	Δ = 633	bi.bi = 48	b0.bi = 30	12 x (irr-D7-14) + 3 x (irr-D7-64) + 1 x (irr-D7-364)
vtx-D07-636-32-26	Δ = 636	bi.bi = 32	b0.bi = 26	6 x (irr-D7-14) + 7 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-104)
vtx-D07-640-52-32	Δ = 640	bi.bi = 52	b0.bi = 32	6 x (irr-D7-14) + 3 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-364)
vtx-D07-643-36-28	Δ = 643	bi.bi = 36	b0.bi = 28	7 x (irr-D7-64) + 2 x (irr-D7-91) + 1 x (irr-D7-104)
vtx-D07-647-56-34	Δ = 647	bi.bi = 56	b0.bi = 34	3 x (irr-D7-64) + 2 x (irr-D7-91) + 1 x (irr-D7-364)
vtx-D07-713-20-22	Δ = 713	bi.bi = 20	b0.bi = 22	30 x (irr-D7-14) + 6 x (irr-D7-64)
vtx-D07-720-24-24	Δ = 720	bi.bi = 24	b0.bi = 24	24 x (irr-D7-14) + 6 x (irr-D7-64) + 1 x (irr-D7-91)
vtx-D07-727-28-26	Δ = 727	bi.bi = 28	b0.bi = 26	18 x (irr-D7-14) + 6 x (irr-D7-64) + 2 x (irr-D7-91)
vtx-D07-734-32-28	Δ = 734	bi.bi = 32	b0.bi = 28	12 x (irr-D7-14) + 6 x (irr-D7-64) + 3 x (irr-D7-91)
