vtx-B06-n13-n4-n2	Δ = -13	bi.bi = -4	b0.bi = -2	5 x (irr-B6-13)
vtx-B06-393-10-12	Δ = 393	bi.bi = 10	b0.bi = 12	19 x (irr-B6-13) + 7 x (irr-B6-64-h)
vtx-B06-406-14-14	Δ = 406	bi.bi = 14	b0.bi = 14	14 x (irr-B6-13) + 7 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-419-18-16	Δ = 419	bi.bi = 18	b0.bi = 16	9 x (irr-B6-13) + 7 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-432-22-18	Δ = 432	bi.bi = 22	b0.bi = 18	4 x (irr-B6-13) + 7 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-434-38-22	Δ = 434	bi.bi = 38	b0.bi = 22	10 x (irr-B6-13) + 3 x (irr-B6-64-h) + 1 x (irr-B6-286)
vtx-B06-441-58-28	Δ = 441	bi.bi = 58	b0.bi = 28	3 x (irr-B6-13) + 3 x (irr-B6-64-h) + 1 x (irr-B6-768-h)
vtx-B06-442-22-18	Δ = 442	bi.bi = 22	b0.bi = 18	6 x (irr-B6-13) + 11 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-447-42-24	Δ = 447	bi.bi = 42	b0.bi = 24	5 x (irr-B6-13) + 3 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-451-12-14	Δ = 451	bi.bi = 12	b0.bi = 14	21 x (irr-B6-13) + 8 x (irr-B6-64-h)
vtx-B06-455-26-20	Δ = 455	bi.bi = 26	b0.bi = 20	1 x (irr-B6-13) + 11 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-460-46-26	Δ = 460	bi.bi = 46	b0.bi = 26	3 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-464-16-16	Δ = 464	bi.bi = 16	b0.bi = 16	16 x (irr-B6-13) + 8 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-477-20-18	Δ = 477	bi.bi = 20	b0.bi = 18	11 x (irr-B6-13) + 8 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-490-24-20	Δ = 490	bi.bi = 24	b0.bi = 20	6 x (irr-B6-13) + 8 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-492-40-24	Δ = 492	bi.bi = 40	b0.bi = 24	12 x (irr-B6-13) + 4 x (irr-B6-64-h) + 1 x (irr-B6-286)
vtx-B06-499-60-30	Δ = 499	bi.bi = 60	b0.bi = 30	5 x (irr-B6-13) + 4 x (irr-B6-64-h) + 1 x (irr-B6-768-h)
vtx-B06-500-24-20	Δ = 500	bi.bi = 24	b0.bi = 20	8 x (irr-B6-13) + 12 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-503-28-22	Δ = 503	bi.bi = 28	b0.bi = 22	1 x (irr-B6-13) + 8 x (irr-B6-64-h) + 4 x (irr-B6-78)
vtx-B06-505-44-26	Δ = 505	bi.bi = 44	b0.bi = 26	7 x (irr-B6-13) + 4 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-509-14-16	Δ = 509	bi.bi = 14	b0.bi = 16	23 x (irr-B6-13) + 9 x (irr-B6-64-h)
vtx-B06-512-64-32	Δ = 512	bi.bi = 64	b0.bi = 32	4 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-513-28-22	Δ = 513	bi.bi = 28	b0.bi = 22	3 x (irr-B6-13) + 12 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-518-48-28	Δ = 518	bi.bi = 48	b0.bi = 28	2 x (irr-B6-13) + 4 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-522-18-18	Δ = 522	bi.bi = 18	b0.bi = 18	18 x (irr-B6-13) + 9 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-533-68-34	Δ = 533	bi.bi = 68	b0.bi = 34	3 x (irr-B6-13) + 2 x (irr-B6-286)
vtx-B06-535-22-20	Δ = 535	bi.bi = 22	b0.bi = 20	13 x (irr-B6-13) + 9 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-548-26-22	Δ = 548	bi.bi = 26	b0.bi = 22	8 x (irr-B6-13) + 9 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-550-42-26	Δ = 550	bi.bi = 42	b0.bi = 26	14 x (irr-B6-13) + 5 x (irr-B6-64-h) + 1 x (irr-B6-286)
vtx-B06-557-62-32	Δ = 557	bi.bi = 62	b0.bi = 32	7 x (irr-B6-13) + 5 x (irr-B6-64-h) + 1 x (irr-B6-768-h)
vtx-B06-558-26-22	Δ = 558	bi.bi = 26	b0.bi = 22	10 x (irr-B6-13) + 13 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-561-30-24	Δ = 561	bi.bi = 30	b0.bi = 24	3 x (irr-B6-13) + 9 x (irr-B6-64-h) + 4 x (irr-B6-78)
vtx-B06-563-46-28	Δ = 563	bi.bi = 46	b0.bi = 28	9 x (irr-B6-13) + 5 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-567-16-18	Δ = 567	bi.bi = 16	b0.bi = 18	25 x (irr-B6-13) + 10 x (irr-B6-64-h)
vtx-B06-570-66-34	Δ = 570	bi.bi = 66	b0.bi = 34	2 x (irr-B6-13) + 5 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-571-30-24	Δ = 571	bi.bi = 30	b0.bi = 24	5 x (irr-B6-13) + 13 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-576-50-30	Δ = 576	bi.bi = 50	b0.bi = 30	4 x (irr-B6-13) + 5 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-580-20-20	Δ = 580	bi.bi = 20	b0.bi = 20	20 x (irr-B6-13) + 10 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-584-34-26	Δ = 584	bi.bi = 34	b0.bi = 26	13 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-591-70-36	Δ = 591	bi.bi = 70	b0.bi = 36	5 x (irr-B6-13) + 1 x (irr-B6-64-h) + 2 x (irr-B6-286)
vtx-B06-593-24-22	Δ = 593	bi.bi = 24	b0.bi = 22	15 x (irr-B6-13) + 10 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-599-54-32	Δ = 599	bi.bi = 54	b0.bi = 32	1 x (irr-B6-13) + 9 x (irr-B6-64-h) + 1 x (irr-B6-90) + 1 x (irr-B6-286)
vtx-B06-604-74-38	Δ = 604	bi.bi = 74	b0.bi = 38	1 x (irr-B6-64-h) + 1 x (irr-B6-78) + 2 x (irr-B6-286)
vtx-B06-606-28-24	Δ = 606	bi.bi = 28	b0.bi = 24	10 x (irr-B6-13) + 10 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-608-44-28	Δ = 608	bi.bi = 44	b0.bi = 28	16 x (irr-B6-13) + 6 x (irr-B6-64-h) + 1 x (irr-B6-286)
vtx-B06-615-64-34	Δ = 615	bi.bi = 64	b0.bi = 34	9 x (irr-B6-13) + 6 x (irr-B6-64-h) + 1 x (irr-B6-768-h)
vtx-B06-616-28-24	Δ = 616	bi.bi = 28	b0.bi = 24	12 x (irr-B6-13) + 14 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-619-32-26	Δ = 619	bi.bi = 32	b0.bi = 26	5 x (irr-B6-13) + 10 x (irr-B6-64-h) + 4 x (irr-B6-78)
vtx-B06-621-48-30	Δ = 621	bi.bi = 48	b0.bi = 30	11 x (irr-B6-13) + 6 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-625-18-20	Δ = 625	bi.bi = 18	b0.bi = 20	27 x (irr-B6-13) + 11 x (irr-B6-64-h)
vtx-B06-628-68-36	Δ = 628	bi.bi = 68	b0.bi = 36	4 x (irr-B6-13) + 6 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-629-32-26	Δ = 629	bi.bi = 32	b0.bi = 26	7 x (irr-B6-13) + 14 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-632-36-28	Δ = 632	bi.bi = 36	b0.bi = 28	10 x (irr-B6-64-h) + 5 x (irr-B6-78)
vtx-B06-634-52-32	Δ = 634	bi.bi = 52	b0.bi = 32	6 x (irr-B6-13) + 6 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-638-22-22	Δ = 638	bi.bi = 22	b0.bi = 22	22 x (irr-B6-13) + 11 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-642-36-28	Δ = 642	bi.bi = 36	b0.bi = 28	2 x (irr-B6-13) + 14 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-647-56-34	Δ = 647	bi.bi = 56	b0.bi = 34	1 x (irr-B6-13) + 6 x (irr-B6-64-h) + 3 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-649-72-38	Δ = 649	bi.bi = 72	b0.bi = 38	7 x (irr-B6-13) + 2 x (irr-B6-64-h) + 2 x (irr-B6-286)
vtx-B06-651-26-24	Δ = 651	bi.bi = 26	b0.bi = 24	17 x (irr-B6-13) + 11 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-656-92-44	Δ = 656	bi.bi = 92	b0.bi = 44	2 x (irr-B6-64-h) + 1 x (irr-B6-286) + 1 x (irr-B6-768-h)
vtx-B06-657-56-34	Δ = 657	bi.bi = 56	b0.bi = 34	3 x (irr-B6-13) + 10 x (irr-B6-64-h) + 1 x (irr-B6-90) + 1 x (irr-B6-286)
vtx-B06-662-76-40	Δ = 662	bi.bi = 76	b0.bi = 40	2 x (irr-B6-13) + 2 x (irr-B6-64-h) + 1 x (irr-B6-78) + 2 x (irr-B6-286)
vtx-B06-664-30-26	Δ = 664	bi.bi = 30	b0.bi = 26	12 x (irr-B6-13) + 11 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-666-46-30	Δ = 666	bi.bi = 46	b0.bi = 30	18 x (irr-B6-13) + 7 x (irr-B6-64-h) + 1 x (irr-B6-286)
vtx-B06-673-66-36	Δ = 673	bi.bi = 66	b0.bi = 36	11 x (irr-B6-13) + 7 x (irr-B6-64-h) + 1 x (irr-B6-768-h)
vtx-B06-674-30-26	Δ = 674	bi.bi = 30	b0.bi = 26	14 x (irr-B6-13) + 15 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-677-34-28	Δ = 677	bi.bi = 34	b0.bi = 28	7 x (irr-B6-13) + 11 x (irr-B6-64-h) + 4 x (irr-B6-78)
vtx-B06-679-50-32	Δ = 679	bi.bi = 50	b0.bi = 32	13 x (irr-B6-13) + 7 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-683-20-22	Δ = 683	bi.bi = 20	b0.bi = 22	29 x (irr-B6-13) + 12 x (irr-B6-64-h)
vtx-B06-686-70-38	Δ = 686	bi.bi = 70	b0.bi = 38	6 x (irr-B6-13) + 7 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-687-34-28	Δ = 687	bi.bi = 34	b0.bi = 28	9 x (irr-B6-13) + 15 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-690-38-30	Δ = 690	bi.bi = 38	b0.bi = 30	2 x (irr-B6-13) + 11 x (irr-B6-64-h) + 5 x (irr-B6-78)
vtx-B06-692-54-34	Δ = 692	bi.bi = 54	b0.bi = 34	8 x (irr-B6-13) + 7 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-696-24-24	Δ = 696	bi.bi = 24	b0.bi = 24	24 x (irr-B6-13) + 12 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-699-74-40	Δ = 699	bi.bi = 74	b0.bi = 40	1 x (irr-B6-13) + 7 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-700-38-30	Δ = 700	bi.bi = 38	b0.bi = 30	4 x (irr-B6-13) + 15 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-705-58-36	Δ = 705	bi.bi = 58	b0.bi = 36	3 x (irr-B6-13) + 7 x (irr-B6-64-h) + 3 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-707-74-40	Δ = 707	bi.bi = 74	b0.bi = 40	9 x (irr-B6-13) + 3 x (irr-B6-64-h) + 2 x (irr-B6-286)
vtx-B06-709-28-26	Δ = 709	bi.bi = 28	b0.bi = 26	19 x (irr-B6-13) + 12 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-714-94-46	Δ = 714	bi.bi = 94	b0.bi = 46	2 x (irr-B6-13) + 3 x (irr-B6-64-h) + 1 x (irr-B6-286) + 1 x (irr-B6-768-h)
vtx-B06-715-58-36	Δ = 715	bi.bi = 58	b0.bi = 36	5 x (irr-B6-13) + 11 x (irr-B6-64-h) + 1 x (irr-B6-90) + 1 x (irr-B6-286)
vtx-B06-720-78-42	Δ = 720	bi.bi = 78	b0.bi = 42	4 x (irr-B6-13) + 3 x (irr-B6-64-h) + 1 x (irr-B6-78) + 2 x (irr-B6-286)
vtx-B06-722-32-28	Δ = 722	bi.bi = 32	b0.bi = 28	14 x (irr-B6-13) + 12 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-723-42-32	Δ = 723	bi.bi = 42	b0.bi = 32	1 x (irr-B6-13) + 19 x (irr-B6-64-h) + 2 x (irr-B6-90)
vtx-B06-724-48-32	Δ = 724	bi.bi = 48	b0.bi = 32	20 x (irr-B6-13) + 8 x (irr-B6-64-h) + 1 x (irr-B6-286)
vtx-B06-728-62-38	Δ = 728	bi.bi = 62	b0.bi = 38	11 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-90) + 1 x (irr-B6-286)
vtx-B06-731-68-38	Δ = 731	bi.bi = 68	b0.bi = 38	13 x (irr-B6-13) + 8 x (irr-B6-64-h) + 1 x (irr-B6-768-h)
vtx-B06-732-32-28	Δ = 732	bi.bi = 32	b0.bi = 28	16 x (irr-B6-13) + 16 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-735-36-30	Δ = 735	bi.bi = 36	b0.bi = 30	9 x (irr-B6-13) + 12 x (irr-B6-64-h) + 4 x (irr-B6-78)
vtx-B06-737-52-34	Δ = 737	bi.bi = 52	b0.bi = 34	15 x (irr-B6-13) + 8 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-741-22-24	Δ = 741	bi.bi = 22	b0.bi = 24	31 x (irr-B6-13) + 13 x (irr-B6-64-h)
vtx-B06-744-72-40	Δ = 744	bi.bi = 72	b0.bi = 40	8 x (irr-B6-13) + 8 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-745-36-30	Δ = 745	bi.bi = 36	b0.bi = 30	11 x (irr-B6-13) + 16 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-748-40-32	Δ = 748	bi.bi = 40	b0.bi = 32	4 x (irr-B6-13) + 12 x (irr-B6-64-h) + 5 x (irr-B6-78)
vtx-B06-750-56-36	Δ = 750	bi.bi = 56	b0.bi = 36	10 x (irr-B6-13) + 8 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-754-26-26	Δ = 754	bi.bi = 26	b0.bi = 26	26 x (irr-B6-13) + 13 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-757-76-42	Δ = 757	bi.bi = 76	b0.bi = 42	3 x (irr-B6-13) + 8 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-758-40-32	Δ = 758	bi.bi = 40	b0.bi = 32	6 x (irr-B6-13) + 16 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-763-60-38	Δ = 763	bi.bi = 60	b0.bi = 38	5 x (irr-B6-13) + 8 x (irr-B6-64-h) + 3 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-765-76-42	Δ = 765	bi.bi = 76	b0.bi = 42	11 x (irr-B6-13) + 4 x (irr-B6-64-h) + 2 x (irr-B6-286)
vtx-B06-767-30-28	Δ = 767	bi.bi = 30	b0.bi = 28	21 x (irr-B6-13) + 13 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-771-44-34	Δ = 771	bi.bi = 44	b0.bi = 34	1 x (irr-B6-13) + 16 x (irr-B6-64-h) + 3 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-772-96-48	Δ = 772	bi.bi = 96	b0.bi = 48	4 x (irr-B6-13) + 4 x (irr-B6-64-h) + 1 x (irr-B6-286) + 1 x (irr-B6-768-h)
vtx-B06-773-60-38	Δ = 773	bi.bi = 60	b0.bi = 38	7 x (irr-B6-13) + 12 x (irr-B6-64-h) + 1 x (irr-B6-90) + 1 x (irr-B6-286)
vtx-B06-776-64-40	Δ = 776	bi.bi = 64	b0.bi = 40	8 x (irr-B6-64-h) + 4 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-778-80-44	Δ = 778	bi.bi = 80	b0.bi = 44	6 x (irr-B6-13) + 4 x (irr-B6-64-h) + 1 x (irr-B6-78) + 2 x (irr-B6-286)
vtx-B06-780-34-30	Δ = 780	bi.bi = 34	b0.bi = 30	16 x (irr-B6-13) + 13 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-780-80-44	Δ = 780	bi.bi = 80	b0.bi = 44	12 x (irr-B6-64-h) + 1 x (irr-B6-90) + 1 x (irr-B6-768-h)
vtx-B06-781-44-34	Δ = 781	bi.bi = 44	b0.bi = 34	3 x (irr-B6-13) + 20 x (irr-B6-64-h) + 2 x (irr-B6-90)
vtx-B06-782-50-34	Δ = 782	bi.bi = 50	b0.bi = 34	22 x (irr-B6-13) + 9 x (irr-B6-64-h) + 1 x (irr-B6-286)
vtx-B06-786-64-40	Δ = 786	bi.bi = 64	b0.bi = 40	2 x (irr-B6-13) + 12 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-90) + 1 x (irr-B6-286)
vtx-B06-789-70-40	Δ = 789	bi.bi = 70	b0.bi = 40	15 x (irr-B6-13) + 9 x (irr-B6-64-h) + 1 x (irr-B6-768-h)
vtx-B06-790-34-30	Δ = 790	bi.bi = 34	b0.bi = 30	18 x (irr-B6-13) + 17 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-791-84-46	Δ = 791	bi.bi = 84	b0.bi = 46	1 x (irr-B6-13) + 4 x (irr-B6-64-h) + 2 x (irr-B6-78) + 2 x (irr-B6-286)
vtx-B06-793-38-32	Δ = 793	bi.bi = 38	b0.bi = 32	11 x (irr-B6-13) + 13 x (irr-B6-64-h) + 4 x (irr-B6-78)
vtx-B06-795-54-36	Δ = 795	bi.bi = 54	b0.bi = 36	17 x (irr-B6-13) + 9 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-799-24-26	Δ = 799	bi.bi = 24	b0.bi = 26	33 x (irr-B6-13) + 14 x (irr-B6-64-h)
vtx-B06-802-74-42	Δ = 802	bi.bi = 74	b0.bi = 42	10 x (irr-B6-13) + 9 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-803-38-32	Δ = 803	bi.bi = 38	b0.bi = 32	13 x (irr-B6-13) + 17 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-806-42-34	Δ = 806	bi.bi = 42	b0.bi = 34	6 x (irr-B6-13) + 13 x (irr-B6-64-h) + 5 x (irr-B6-78)
vtx-B06-806-104-52	Δ = 806	bi.bi = 104	b0.bi = 52	2 x (irr-B6-13) + 3 x (irr-B6-286)
vtx-B06-808-58-38	Δ = 808	bi.bi = 58	b0.bi = 38	12 x (irr-B6-13) + 9 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-812-28-28	Δ = 812	bi.bi = 28	b0.bi = 28	28 x (irr-B6-13) + 14 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-815-78-44	Δ = 815	bi.bi = 78	b0.bi = 44	5 x (irr-B6-13) + 9 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-816-42-34	Δ = 816	bi.bi = 42	b0.bi = 34	8 x (irr-B6-13) + 17 x (irr-B6-64-h) + 2 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-819-46-36	Δ = 819	bi.bi = 46	b0.bi = 36	1 x (irr-B6-13) + 13 x (irr-B6-64-h) + 6 x (irr-B6-78)
vtx-B06-821-62-40	Δ = 821	bi.bi = 62	b0.bi = 40	7 x (irr-B6-13) + 9 x (irr-B6-64-h) + 3 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-823-78-44	Δ = 823	bi.bi = 78	b0.bi = 44	13 x (irr-B6-13) + 5 x (irr-B6-64-h) + 2 x (irr-B6-286)
vtx-B06-825-32-30	Δ = 825	bi.bi = 32	b0.bi = 30	23 x (irr-B6-13) + 14 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-828-82-46	Δ = 828	bi.bi = 82	b0.bi = 46	9 x (irr-B6-64-h) + 3 x (irr-B6-78) + 1 x (irr-B6-768-h)
vtx-B06-829-46-36	Δ = 829	bi.bi = 46	b0.bi = 36	3 x (irr-B6-13) + 17 x (irr-B6-64-h) + 3 x (irr-B6-78) + 1 x (irr-B6-90)
vtx-B06-830-98-50	Δ = 830	bi.bi = 98	b0.bi = 50	6 x (irr-B6-13) + 5 x (irr-B6-64-h) + 1 x (irr-B6-286) + 1 x (irr-B6-768-h)
vtx-B06-831-62-40	Δ = 831	bi.bi = 62	b0.bi = 40	9 x (irr-B6-13) + 13 x (irr-B6-64-h) + 1 x (irr-B6-90) + 1 x (irr-B6-286)
vtx-B06-834-66-42	Δ = 834	bi.bi = 66	b0.bi = 42	2 x (irr-B6-13) + 9 x (irr-B6-64-h) + 4 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-836-82-46	Δ = 836	bi.bi = 82	b0.bi = 46	8 x (irr-B6-13) + 5 x (irr-B6-64-h) + 1 x (irr-B6-78) + 2 x (irr-B6-286)
vtx-B06-838-36-32	Δ = 838	bi.bi = 36	b0.bi = 32	18 x (irr-B6-13) + 14 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-838-82-46	Δ = 838	bi.bi = 82	b0.bi = 46	2 x (irr-B6-13) + 13 x (irr-B6-64-h) + 1 x (irr-B6-90) + 1 x (irr-B6-768-h)
