vtx-B05-n22-n4-n2	Δ = -22	bi.bi = -4	b0.bi = -2	3 x (irr-B5-11)
vtx-B05-309-21-15	Δ = 309	bi.bi = 21	b0.bi = 15	9 x (irr-B5-32-h) + 4 x (irr-B5-55)
vtx-B05-310-34-18	Δ = 310	bi.bi = 34	b0.bi = 18	2 x (irr-B5-11) + 8 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-312-31-17	Δ = 312	bi.bi = 31	b0.bi = 17	9 x (irr-B5-11) + 3 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-314-18-14	Δ = 314	bi.bi = 18	b0.bi = 14	4 x (irr-B5-11) + 10 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-315-31-17	Δ = 315	bi.bi = 31	b0.bi = 17	6 x (irr-B5-11) + 9 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-317-28-16	Δ = 317	bi.bi = 28	b0.bi = 16	13 x (irr-B5-11) + 4 x (irr-B5-32-h) + 1 x (irr-B5-165)
vtx-B05-319-15-13	Δ = 319	bi.bi = 15	b0.bi = 13	8 x (irr-B5-11) + 11 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-320-18-14	Δ = 320	bi.bi = 18	b0.bi = 14	2 x (irr-B5-11) + 18 x (irr-B5-32-h) + 1 x (irr-B5-65)
vtx-B05-324-12-12	Δ = 324	bi.bi = 12	b0.bi = 12	12 x (irr-B5-11) + 12 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-325-54-24	Δ = 325	bi.bi = 54	b0.bi = 24	1 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-329-9-11	Δ = 329	bi.bi = 9	b0.bi = 11	16 x (irr-B5-11) + 13 x (irr-B5-32-h)
vtx-B05-329-38-20	Δ = 329	bi.bi = 38	b0.bi = 20	2 x (irr-B5-11) + 2 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-330-51-23	Δ = 330	bi.bi = 51	b0.bi = 23	4 x (irr-B5-11) + 1 x (irr-B5-32-h) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-334-35-19	Δ = 334	bi.bi = 35	b0.bi = 19	6 x (irr-B5-11) + 3 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-335-38-20	Δ = 335	bi.bi = 38	b0.bi = 20	10 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-336-22-16	Δ = 336	bi.bi = 22	b0.bi = 16	1 x (irr-B5-11) + 10 x (irr-B5-32-h) + 4 x (irr-B5-55)
vtx-B05-337-35-19	Δ = 337	bi.bi = 35	b0.bi = 19	3 x (irr-B5-11) + 9 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-339-32-18	Δ = 339	bi.bi = 32	b0.bi = 18	10 x (irr-B5-11) + 4 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-341-19-15	Δ = 341	bi.bi = 19	b0.bi = 15	5 x (irr-B5-11) + 11 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-342-32-18	Δ = 342	bi.bi = 32	b0.bi = 18	7 x (irr-B5-11) + 10 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-344-29-17	Δ = 344	bi.bi = 29	b0.bi = 17	14 x (irr-B5-11) + 5 x (irr-B5-32-h) + 1 x (irr-B5-165)
