vtx-B03-n5-n3-n1	Δ = -5	bi.bi = -3	b0.bi = -1	2 x (irr-B3-8)
vtx-B03-107-13-7	Δ = 107	bi.bi = 13	b0.bi = 7	4 x (irr-B3-7) + 2 x (irr-B3-8) + 4 x (irr-B3-21)
vtx-B03-109-10-6	Δ = 109	bi.bi = 10	b0.bi = 6	9 x (irr-B3-7) + 4 x (irr-B3-8) + 1 x (irr-B3-35)
vtx-B03-110-2-4	Δ = 110	bi.bi = 2	b0.bi = 4	5 x (irr-B3-7) + 12 x (irr-B3-8)
vtx-B03-112-16-8	Δ = 112	bi.bi = 16	b0.bi = 8	4 x (irr-B3-7) + 5 x (irr-B3-21)
vtx-B03-114-13-7	Δ = 114	bi.bi = 13	b0.bi = 7	9 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-115-5-5	Δ = 115	bi.bi = 5	b0.bi = 5	5 x (irr-B3-7) + 10 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-119-16-8	Δ = 119	bi.bi = 16	b0.bi = 8	9 x (irr-B3-7) + 2 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-120-8-6	Δ = 120	bi.bi = 8	b0.bi = 6	5 x (irr-B3-7) + 8 x (irr-B3-8) + 2 x (irr-B3-21)
vtx-B03-122-21-9	Δ = 122	bi.bi = 21	b0.bi = 9	4 x (irr-B3-7) + 4 x (irr-B3-8) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-122-26-10	Δ = 122	bi.bi = 26	b0.bi = 10	2 x (irr-B3-7) + 4 x (irr-B3-8) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-123-13-7	Δ = 123	bi.bi = 13	b0.bi = 7	12 x (irr-B3-8) + 1 x (irr-B3-48)
vtx-B03-125-11-7	Δ = 125	bi.bi = 11	b0.bi = 7	5 x (irr-B3-7) + 6 x (irr-B3-8) + 3 x (irr-B3-21)
vtx-B03-127-24-10	Δ = 127	bi.bi = 24	b0.bi = 10	4 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-127-29-11	Δ = 127	bi.bi = 29	b0.bi = 11	2 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-128-16-8	Δ = 128	bi.bi = 16	b0.bi = 8	10 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-130-14-8	Δ = 130	bi.bi = 14	b0.bi = 8	5 x (irr-B3-7) + 4 x (irr-B3-8) + 4 x (irr-B3-21)
vtx-B03-132-11-7	Δ = 132	bi.bi = 11	b0.bi = 7	10 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-35)
vtx-B03-132-27-11	Δ = 132	bi.bi = 27	b0.bi = 11	4 x (irr-B3-7) + 2 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-132-32-12	Δ = 132	bi.bi = 32	b0.bi = 12	2 x (irr-B3-7) + 2 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-133-3-5	Δ = 133	bi.bi = 3	b0.bi = 5	6 x (irr-B3-7) + 14 x (irr-B3-8)
vtx-B03-133-19-9	Δ = 133	bi.bi = 19	b0.bi = 9	8 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-135-17-9	Δ = 135	bi.bi = 17	b0.bi = 9	5 x (irr-B3-7) + 2 x (irr-B3-8) + 5 x (irr-B3-21)
vtx-B03-137-14-8	Δ = 137	bi.bi = 14	b0.bi = 8	10 x (irr-B3-7) + 4 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-138-6-6	Δ = 138	bi.bi = 6	b0.bi = 6	6 x (irr-B3-7) + 12 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-138-22-10	Δ = 138	bi.bi = 22	b0.bi = 10	6 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-140-20-10	Δ = 140	bi.bi = 20	b0.bi = 10	5 x (irr-B3-7) + 6 x (irr-B3-21)
vtx-B03-142-17-9	Δ = 142	bi.bi = 17	b0.bi = 9	10 x (irr-B3-7) + 2 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-143-9-7	Δ = 143	bi.bi = 9	b0.bi = 7	6 x (irr-B3-7) + 10 x (irr-B3-8) + 2 x (irr-B3-21)
vtx-B03-143-25-11	Δ = 143	bi.bi = 25	b0.bi = 11	4 x (irr-B3-8) + 4 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-145-22-10	Δ = 145	bi.bi = 22	b0.bi = 10	5 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-145-27-11	Δ = 145	bi.bi = 27	b0.bi = 11	3 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-146-14-8	Δ = 146	bi.bi = 14	b0.bi = 8	1 x (irr-B3-7) + 14 x (irr-B3-8) + 1 x (irr-B3-48)
vtx-B03-147-20-10	Δ = 147	bi.bi = 20	b0.bi = 10	10 x (irr-B3-7) + 3 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-148-12-8	Δ = 148	bi.bi = 12	b0.bi = 8	6 x (irr-B3-7) + 8 x (irr-B3-8) + 3 x (irr-B3-21)
vtx-B03-148-28-12	Δ = 148	bi.bi = 28	b0.bi = 12	2 x (irr-B3-8) + 5 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-150-25-11	Δ = 150	bi.bi = 25	b0.bi = 11	5 x (irr-B3-7) + 4 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-150-30-12	Δ = 150	bi.bi = 30	b0.bi = 12	3 x (irr-B3-7) + 4 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-151-17-9	Δ = 151	bi.bi = 17	b0.bi = 9	1 x (irr-B3-7) + 12 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-153-15-9	Δ = 153	bi.bi = 15	b0.bi = 9	6 x (irr-B3-7) + 6 x (irr-B3-8) + 4 x (irr-B3-21)
vtx-B03-153-31-13	Δ = 153	bi.bi = 31	b0.bi = 13	6 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-154-20-10	Δ = 154	bi.bi = 20	b0.bi = 10	15 x (irr-B3-7) + 2 x (irr-B3-35)
vtx-B03-155-12-8	Δ = 155	bi.bi = 12	b0.bi = 8	11 x (irr-B3-7) + 8 x (irr-B3-8) + 1 x (irr-B3-35)
vtx-B03-155-28-12	Δ = 155	bi.bi = 28	b0.bi = 12	5 x (irr-B3-7) + 2 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-155-33-13	Δ = 155	bi.bi = 33	b0.bi = 13	3 x (irr-B3-7) + 2 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-156-4-6	Δ = 156	bi.bi = 4	b0.bi = 6	7 x (irr-B3-7) + 16 x (irr-B3-8)
vtx-B03-156-20-10	Δ = 156	bi.bi = 20	b0.bi = 10	1 x (irr-B3-7) + 10 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-158-18-10	Δ = 158	bi.bi = 18	b0.bi = 10	6 x (irr-B3-7) + 4 x (irr-B3-8) + 5 x (irr-B3-21)
vtx-B03-158-33-13	Δ = 158	bi.bi = 33	b0.bi = 13	6 x (irr-B3-8) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-160-15-9	Δ = 160	bi.bi = 15	b0.bi = 9	11 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-160-31-13	Δ = 160	bi.bi = 31	b0.bi = 13	5 x (irr-B3-7) + 3 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-160-36-14	Δ = 160	bi.bi = 36	b0.bi = 14	3 x (irr-B3-7) + 3 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-161-7-7	Δ = 161	bi.bi = 7	b0.bi = 7	7 x (irr-B3-7) + 14 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-161-23-11	Δ = 161	bi.bi = 23	b0.bi = 11	1 x (irr-B3-7) + 8 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-163-21-11	Δ = 163	bi.bi = 21	b0.bi = 11	6 x (irr-B3-7) + 2 x (irr-B3-8) + 6 x (irr-B3-21)
vtx-B03-163-36-14	Δ = 163	bi.bi = 36	b0.bi = 14	4 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-165-18-10	Δ = 165	bi.bi = 18	b0.bi = 10	11 x (irr-B3-7) + 4 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-166-10-8	Δ = 166	bi.bi = 10	b0.bi = 8	7 x (irr-B3-7) + 12 x (irr-B3-8) + 2 x (irr-B3-21)
vtx-B03-166-26-12	Δ = 166	bi.bi = 26	b0.bi = 12	1 x (irr-B3-7) + 6 x (irr-B3-8) + 4 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-167-31-13	Δ = 167	bi.bi = 31	b0.bi = 13	10 x (irr-B3-7) + 2 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-167-36-14	Δ = 167	bi.bi = 36	b0.bi = 14	8 x (irr-B3-7) + 1 x (irr-B3-27) + 3 x (irr-B3-35)
vtx-B03-167-71-19	Δ = 167	bi.bi = 71	b0.bi = 19	7 x (irr-B3-7) + 1 x (irr-B3-27) + 1 x (irr-B3-112a)
vtx-B03-168-23-11	Δ = 168	bi.bi = 23	b0.bi = 11	6 x (irr-B3-7) + 8 x (irr-B3-8) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-168-24-12	Δ = 168	bi.bi = 24	b0.bi = 12	6 x (irr-B3-7) + 7 x (irr-B3-21)
vtx-B03-168-28-12	Δ = 168	bi.bi = 28	b0.bi = 12	4 x (irr-B3-7) + 8 x (irr-B3-8) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-168-39-15	Δ = 168	bi.bi = 39	b0.bi = 15	2 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-169-15-9	Δ = 169	bi.bi = 15	b0.bi = 9	2 x (irr-B3-7) + 16 x (irr-B3-8) + 1 x (irr-B3-48)
vtx-B03-169-20-10	Δ = 169	bi.bi = 20	b0.bi = 10	16 x (irr-B3-8) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-170-21-11	Δ = 170	bi.bi = 21	b0.bi = 11	11 x (irr-B3-7) + 2 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-171-13-9	Δ = 171	bi.bi = 13	b0.bi = 9	7 x (irr-B3-7) + 10 x (irr-B3-8) + 3 x (irr-B3-21)
vtx-B03-171-29-13	Δ = 171	bi.bi = 29	b0.bi = 13	1 x (irr-B3-7) + 4 x (irr-B3-8) + 5 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-173-26-12	Δ = 173	bi.bi = 26	b0.bi = 12	6 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-173-31-13	Δ = 173	bi.bi = 31	b0.bi = 13	4 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-173-42-16	Δ = 173	bi.bi = 42	b0.bi = 16	3 x (irr-B3-21) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-174-18-10	Δ = 174	bi.bi = 18	b0.bi = 10	2 x (irr-B3-7) + 14 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-174-23-11	Δ = 174	bi.bi = 23	b0.bi = 11	14 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-175-24-12	Δ = 175	bi.bi = 24	b0.bi = 12	11 x (irr-B3-7) + 4 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-176-16-10	Δ = 176	bi.bi = 16	b0.bi = 10	7 x (irr-B3-7) + 8 x (irr-B3-8) + 4 x (irr-B3-21)
vtx-B03-176-32-14	Δ = 176	bi.bi = 32	b0.bi = 14	1 x (irr-B3-7) + 2 x (irr-B3-8) + 6 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-177-21-11	Δ = 177	bi.bi = 21	b0.bi = 11	16 x (irr-B3-7) + 2 x (irr-B3-8) + 2 x (irr-B3-35)
vtx-B03-178-13-9	Δ = 178	bi.bi = 13	b0.bi = 9	12 x (irr-B3-7) + 10 x (irr-B3-8) + 1 x (irr-B3-35)
vtx-B03-178-29-13	Δ = 178	bi.bi = 29	b0.bi = 13	6 x (irr-B3-7) + 4 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-178-34-14	Δ = 178	bi.bi = 34	b0.bi = 14	4 x (irr-B3-7) + 4 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-179-5-7	Δ = 179	bi.bi = 5	b0.bi = 7	8 x (irr-B3-7) + 18 x (irr-B3-8)
vtx-B03-179-21-11	Δ = 179	bi.bi = 21	b0.bi = 11	2 x (irr-B3-7) + 12 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-179-26-12	Δ = 179	bi.bi = 26	b0.bi = 12	12 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-180-42-16	Δ = 180	bi.bi = 42	b0.bi = 16	5 x (irr-B3-7) + 2 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-180-47-17	Δ = 180	bi.bi = 47	b0.bi = 17	3 x (irr-B3-7) + 1 x (irr-B3-27) + 3 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-180-52-18	Δ = 180	bi.bi = 52	b0.bi = 18	1 x (irr-B3-7) + 2 x (irr-B3-27) + 4 x (irr-B3-35)
vtx-B03-180-82-22	Δ = 180	bi.bi = 82	b0.bi = 22	2 x (irr-B3-7) + 1 x (irr-B3-27) + 1 x (irr-B3-48) + 1 x (irr-B3-112a)
vtx-B03-180-87-23	Δ = 180	bi.bi = 87	b0.bi = 23	2 x (irr-B3-27) + 1 x (irr-B3-35) + 1 x (irr-B3-112a)
vtx-B03-181-19-11	Δ = 181	bi.bi = 19	b0.bi = 11	7 x (irr-B3-7) + 6 x (irr-B3-8) + 5 x (irr-B3-21)
vtx-B03-181-34-14	Δ = 181	bi.bi = 34	b0.bi = 14	1 x (irr-B3-7) + 8 x (irr-B3-8) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-181-35-15	Δ = 181	bi.bi = 35	b0.bi = 15	1 x (irr-B3-7) + 7 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-182-24-12	Δ = 182	bi.bi = 24	b0.bi = 12	16 x (irr-B3-7) + 1 x (irr-B3-21) + 2 x (irr-B3-35)
vtx-B03-183-16-10	Δ = 183	bi.bi = 16	b0.bi = 10	12 x (irr-B3-7) + 8 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-183-32-14	Δ = 183	bi.bi = 32	b0.bi = 14	6 x (irr-B3-7) + 2 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-183-37-15	Δ = 183	bi.bi = 37	b0.bi = 15	4 x (irr-B3-7) + 2 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-184-8-8	Δ = 184	bi.bi = 8	b0.bi = 8	8 x (irr-B3-7) + 16 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-184-24-12	Δ = 184	bi.bi = 24	b0.bi = 12	2 x (irr-B3-7) + 10 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-184-29-13	Δ = 184	bi.bi = 29	b0.bi = 13	10 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-186-22-12	Δ = 186	bi.bi = 22	b0.bi = 12	7 x (irr-B3-7) + 4 x (irr-B3-8) + 6 x (irr-B3-21)
vtx-B03-186-37-15	Δ = 186	bi.bi = 37	b0.bi = 15	1 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-188-19-11	Δ = 188	bi.bi = 19	b0.bi = 11	12 x (irr-B3-7) + 6 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-188-35-15	Δ = 188	bi.bi = 35	b0.bi = 15	6 x (irr-B3-7) + 4 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-188-40-16	Δ = 188	bi.bi = 40	b0.bi = 16	4 x (irr-B3-7) + 4 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-189-11-9	Δ = 189	bi.bi = 11	b0.bi = 9	8 x (irr-B3-7) + 14 x (irr-B3-8) + 2 x (irr-B3-21)
vtx-B03-189-27-13	Δ = 189	bi.bi = 27	b0.bi = 13	2 x (irr-B3-7) + 8 x (irr-B3-8) + 4 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-189-32-14	Δ = 189	bi.bi = 32	b0.bi = 14	8 x (irr-B3-8) + 4 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-190-32-14	Δ = 190	bi.bi = 32	b0.bi = 14	11 x (irr-B3-7) + 2 x (irr-B3-8) + 2 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-190-37-15	Δ = 190	bi.bi = 37	b0.bi = 15	9 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-27) + 3 x (irr-B3-35)
vtx-B03-190-72-20	Δ = 190	bi.bi = 72	b0.bi = 20	8 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-27) + 1 x (irr-B3-112a)
vtx-B03-191-24-12	Δ = 191	bi.bi = 24	b0.bi = 12	7 x (irr-B3-7) + 10 x (irr-B3-8) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-191-25-13	Δ = 191	bi.bi = 25	b0.bi = 13	7 x (irr-B3-7) + 2 x (irr-B3-8) + 7 x (irr-B3-21)
vtx-B03-191-29-13	Δ = 191	bi.bi = 29	b0.bi = 13	5 x (irr-B3-7) + 10 x (irr-B3-8) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-191-40-16	Δ = 191	bi.bi = 40	b0.bi = 16	1 x (irr-B3-7) + 4 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-192-16-10	Δ = 192	bi.bi = 16	b0.bi = 10	3 x (irr-B3-7) + 18 x (irr-B3-8) + 1 x (irr-B3-48)
vtx-B03-192-21-11	Δ = 192	bi.bi = 21	b0.bi = 11	1 x (irr-B3-7) + 18 x (irr-B3-8) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-193-22-12	Δ = 193	bi.bi = 22	b0.bi = 12	12 x (irr-B3-7) + 4 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-193-53-19	Δ = 193	bi.bi = 53	b0.bi = 19	2 x (irr-B3-35) + 3 x (irr-B3-48)
vtx-B03-194-14-10	Δ = 194	bi.bi = 14	b0.bi = 10	8 x (irr-B3-7) + 12 x (irr-B3-8) + 3 x (irr-B3-21)
vtx-B03-194-30-14	Δ = 194	bi.bi = 30	b0.bi = 14	2 x (irr-B3-7) + 6 x (irr-B3-8) + 5 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-194-35-15	Δ = 194	bi.bi = 35	b0.bi = 15	6 x (irr-B3-8) + 5 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-195-35-15	Δ = 195	bi.bi = 35	b0.bi = 15	11 x (irr-B3-7) + 1 x (irr-B3-21) + 2 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-195-40-16	Δ = 195	bi.bi = 40	b0.bi = 16	9 x (irr-B3-7) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 3 x (irr-B3-35)
vtx-B03-195-75-21	Δ = 195	bi.bi = 75	b0.bi = 21	8 x (irr-B3-7) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-112a)
vtx-B03-196-27-13	Δ = 196	bi.bi = 27	b0.bi = 13	7 x (irr-B3-7) + 8 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-196-28-14	Δ = 196	bi.bi = 28	b0.bi = 14	7 x (irr-B3-7) + 8 x (irr-B3-21)
vtx-B03-196-32-14	Δ = 196	bi.bi = 32	b0.bi = 14	5 x (irr-B3-7) + 8 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-196-43-17	Δ = 196	bi.bi = 43	b0.bi = 17	1 x (irr-B3-7) + 2 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-197-19-11	Δ = 197	bi.bi = 19	b0.bi = 11	3 x (irr-B3-7) + 16 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-197-24-12	Δ = 197	bi.bi = 24	b0.bi = 12	1 x (irr-B3-7) + 16 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-198-25-13	Δ = 198	bi.bi = 25	b0.bi = 13	12 x (irr-B3-7) + 2 x (irr-B3-8) + 4 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-199-17-11	Δ = 199	bi.bi = 17	b0.bi = 11	8 x (irr-B3-7) + 10 x (irr-B3-8) + 4 x (irr-B3-21)
vtx-B03-199-33-15	Δ = 199	bi.bi = 33	b0.bi = 15	2 x (irr-B3-7) + 4 x (irr-B3-8) + 6 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-199-38-16	Δ = 199	bi.bi = 38	b0.bi = 16	4 x (irr-B3-8) + 6 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-200-22-12	Δ = 200	bi.bi = 22	b0.bi = 12	17 x (irr-B3-7) + 4 x (irr-B3-8) + 2 x (irr-B3-35)
vtx-B03-201-14-10	Δ = 201	bi.bi = 14	b0.bi = 10	13 x (irr-B3-7) + 12 x (irr-B3-8) + 1 x (irr-B3-35)
