vtx-C02-260-36-18	Δ = 260	bi.bi = 36	b0.bi = 18	30 x (irr-C2-4) + 12 x (irr-C2-5) + 5 x (irr-C2-16-h) + 5 x (irr-C2-10)
vtx-C02-260-225-45	Δ = 260	bi.bi = 225	b0.bi = 45	6 x (irr-C2-5) + 1 x (irr-C2-16-h) + 1 x (irr-C2-10) + 3 x (irr-C2-14) + 2 x (irr-C2-20) + 4 x (irr-C2-35a)
vtx-C02-260-289-51	Δ = 260	bi.bi = 289	b0.bi = 51	4 x (irr-C2-16-h) + 4 x (irr-C2-14) + 3 x (irr-C2-20) + 1 x (irr-C2-40-h) + 1 x (irr-C2-64-h) + 2 x (irr-C2-35a)
vtx-C02-261-64-24-a	Δ = 261	bi.bi = 64	b0.bi = 24	1 x (irr-C2-4) + 27 x (irr-C2-5) + 1 x (irr-C2-16-h) + 9 x (irr-C2-10) + 1 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-261-64-24-b	Δ = 261	bi.bi = 64	b0.bi = 24	5 x (irr-C2-4) + 23 x (irr-C2-5) + 7 x (irr-C2-16-h) + 6 x (irr-C2-10) + 1 x (irr-C2-20)
vtx-C02-261-81-27-a	Δ = 261	bi.bi = 81	b0.bi = 27	9 x (irr-C2-4) + 9 x (irr-C2-5) + 15 x (irr-C2-16-h) + 5 x (irr-C2-10) + 1 x (irr-C2-20)
vtx-C02-261-81-27-b	Δ = 261	bi.bi = 81	b0.bi = 27	1 x (irr-C2-4) + 17 x (irr-C2-5) + 3 x (irr-C2-16-h) + 11 x (irr-C2-10) + 2 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-261-81-27-c	Δ = 261	bi.bi = 81	b0.bi = 27	5 x (irr-C2-4) + 13 x (irr-C2-5) + 9 x (irr-C2-16-h) + 8 x (irr-C2-10) + 1 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-261-144-36	Δ = 261	bi.bi = 144	b0.bi = 36	2 x (irr-C2-4) + 7 x (irr-C2-5) + 9 x (irr-C2-16-h) + 2 x (irr-C2-10) + 4 x (irr-C2-14) + 4 x (irr-C2-20)
vtx-C02-261-196-42	Δ = 261	bi.bi = 196	b0.bi = 42	7 x (irr-C2-4) + 1 x (irr-C2-10) + 7 x (irr-C2-14) + 5 x (irr-C2-20) + 1 x (irr-C2-35a)
