vtx-E07-n133-n8-n6	Δ = -133	bi.bi = -8	b0.bi = -6	
vtx-E07-736-72-40	Δ = 736	bi.bi = 72	b0.bi = 40	10 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-742-33-29	Δ = 742	bi.bi = 33	b0.bi = 29	17 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-743-69-39	Δ = 743	bi.bi = 69	b0.bi = 39	15 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-749-30-28	Δ = 749	bi.bi = 30	b0.bi = 28	22 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-749-43-33	Δ = 749	bi.bi = 43	b0.bi = 33	3 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-750-79-43	Δ = 750	bi.bi = 79	b0.bi = 43	1 x (irr-E7-56-h) + 3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-756-27-27	Δ = 756	bi.bi = 27	b0.bi = 27	27 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-756-40-32	Δ = 756	bi.bi = 40	b0.bi = 32	8 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-757-76-42	Δ = 757	bi.bi = 76	b0.bi = 42	6 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-763-24-26	Δ = 763	bi.bi = 24	b0.bi = 26	32 x (irr-E7-56-h)
vtx-E07-763-37-31	Δ = 763	bi.bi = 37	b0.bi = 31	13 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-764-73-41	Δ = 764	bi.bi = 73	b0.bi = 41	11 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-770-34-30	Δ = 770	bi.bi = 34	b0.bi = 30	18 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-771-70-40	Δ = 771	bi.bi = 70	b0.bi = 40	16 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-777-31-29	Δ = 777	bi.bi = 31	b0.bi = 29	23 x (irr-E7-56-h) + 2 x (irr-E7-133)
