vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-104-26-10	Δ = 104	bi.bi = 26	b0.bi = 10	1 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-104-87-17	Δ = 104	bi.bi = 87	b0.bi = 17	2 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-105-5-5	Δ = 105	bi.bi = 5	b0.bi = 5	15 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-105-13-7	Δ = 105	bi.bi = 13	b0.bi = 7	9 x (irr-G2-7) + 4 x (irr-G2-14)
vtx-G02-105-21-9	Δ = 105	bi.bi = 21	b0.bi = 9	3 x (irr-G2-7) + 7 x (irr-G2-14)
vtx-G02-105-63-15	Δ = 105	bi.bi = 63	b0.bi = 15	2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-105-82-16	Δ = 105	bi.bi = 82	b0.bi = 16	4 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-105-127-19	Δ = 105	bi.bi = 127	b0.bi = 19	6 x (irr-G2-7) + 1 x (irr-G2-77b)
vtx-G02-105-135-21	Δ = 105	bi.bi = 135	b0.bi = 21	3 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-106-50-12	Δ = 106	bi.bi = 50	b0.bi = 12	8 x (irr-G2-7) + 1 x (irr-G2-64)
vtx-G02-106-58-14	Δ = 106	bi.bi = 58	b0.bi = 14	2 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-108-36-12	Δ = 108	bi.bi = 36	b0.bi = 12	1 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-109-31-11	Δ = 109	bi.bi = 31	b0.bi = 11	2 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-110-18-8	Δ = 110	bi.bi = 18	b0.bi = 8	10 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-110-26-10	Δ = 110	bi.bi = 26	b0.bi = 10	4 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-111-13-7	Δ = 111	bi.bi = 13	b0.bi = 7	12 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-111-21-9	Δ = 111	bi.bi = 21	b0.bi = 9	6 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-111-29-11	Δ = 111	bi.bi = 29	b0.bi = 11	7 x (irr-G2-14) + 1 x (irr-G2-27)
