vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-282-183-39	Δ = 282	bi.bi = 183	b0.bi = 39	13 x (irr-G2-7) + 2 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-282-190-40	Δ = 282	bi.bi = 190	b0.bi = 40	6 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-282-191-41	Δ = 282	bi.bi = 191	b0.bi = 41	7 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-282-199-43	Δ = 282	bi.bi = 199	b0.bi = 43	1 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-282-236-44	Δ = 282	bi.bi = 236	b0.bi = 44	9 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-282-244-46	Δ = 282	bi.bi = 244	b0.bi = 46	3 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-282-251-47	Δ = 282	bi.bi = 251	b0.bi = 47	1 x (irr-G2-7) + 5 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-282-260-50	Δ = 282	bi.bi = 260	b0.bi = 50	2 x (irr-G2-7) + 2 x (irr-G2-64) + 2 x (irr-G2-77a)
vtx-G02-282-286-52	Δ = 282	bi.bi = 286	b0.bi = 52	1 x (irr-G2-27) + 3 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-282-358-58	Δ = 282	bi.bi = 358	b0.bi = 58	1 x (irr-G2-14) + 2 x (irr-G2-64) + 2 x (irr-G2-77b)
vtx-G02-283-47-21	Δ = 283	bi.bi = 47	b0.bi = 21	23 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-283-55-23	Δ = 283	bi.bi = 55	b0.bi = 23	17 x (irr-G2-7) + 5 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-283-63-25	Δ = 283	bi.bi = 63	b0.bi = 25	11 x (irr-G2-7) + 8 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-283-71-27	Δ = 283	bi.bi = 71	b0.bi = 27	5 x (irr-G2-7) + 11 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-283-97-29	Δ = 283	bi.bi = 97	b0.bi = 29	14 x (irr-G2-7) + 5 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-283-105-31	Δ = 283	bi.bi = 105	b0.bi = 31	8 x (irr-G2-7) + 3 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-283-113-33	Δ = 283	bi.bi = 113	b0.bi = 33	2 x (irr-G2-7) + 6 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-283-124-32	Δ = 283	bi.bi = 124	b0.bi = 32	12 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-283-132-34	Δ = 283	bi.bi = 132	b0.bi = 34	6 x (irr-G2-7) + 5 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-283-140-36	Δ = 283	bi.bi = 140	b0.bi = 36	8 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-283-159-37	Δ = 283	bi.bi = 159	b0.bi = 37	11 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-283-167-39	Δ = 283	bi.bi = 167	b0.bi = 39	5 x (irr-G2-7) + 5 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-283-169-35	Δ = 283	bi.bi = 169	b0.bi = 35	14 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-283-174-40	Δ = 283	bi.bi = 174	b0.bi = 40	3 x (irr-G2-7) + 5 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-283-177-37	Δ = 283	bi.bi = 177	b0.bi = 37	8 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-283-185-39	Δ = 283	bi.bi = 185	b0.bi = 39	2 x (irr-G2-7) + 7 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-283-201-43	Δ = 283	bi.bi = 201	b0.bi = 43	1 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-283-209-45	Δ = 283	bi.bi = 209	b0.bi = 45	2 x (irr-G2-7) + 1 x (irr-G2-27) + 4 x (irr-G2-64)
vtx-G02-283-236-48	Δ = 283	bi.bi = 236	b0.bi = 48	2 x (irr-G2-14) + 3 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-283-246-46	Δ = 283	bi.bi = 246	b0.bi = 46	3 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-283-281-51	Δ = 283	bi.bi = 281	b0.bi = 51	2 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-283-291-49	Δ = 283	bi.bi = 291	b0.bi = 49	5 x (irr-G2-7) + 4 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-283-475-63	Δ = 283	bi.bi = 475	b0.bi = 63	1 x (irr-G2-7) + 4 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-284-34-18	Δ = 284	bi.bi = 34	b0.bi = 18	31 x (irr-G2-7) + 3 x (irr-G2-27)
vtx-G02-284-42-20	Δ = 284	bi.bi = 42	b0.bi = 20	25 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-284-50-22	Δ = 284	bi.bi = 50	b0.bi = 22	19 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-284-58-24	Δ = 284	bi.bi = 58	b0.bi = 24	13 x (irr-G2-7) + 9 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-284-66-26	Δ = 284	bi.bi = 66	b0.bi = 26	7 x (irr-G2-7) + 12 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-284-74-28	Δ = 284	bi.bi = 74	b0.bi = 28	1 x (irr-G2-7) + 15 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-284-88-30	Δ = 284	bi.bi = 88	b0.bi = 30	4 x (irr-G2-7) + 10 x (irr-G2-27)
vtx-G02-284-92-28	Δ = 284	bi.bi = 92	b0.bi = 28	16 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-284-100-30	Δ = 284	bi.bi = 100	b0.bi = 30	10 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-284-108-32	Δ = 284	bi.bi = 108	b0.bi = 32	4 x (irr-G2-7) + 7 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-284-111-29	Δ = 284	bi.bi = 111	b0.bi = 29	20 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-284-119-31	Δ = 284	bi.bi = 119	b0.bi = 31	14 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-284-127-33	Δ = 284	bi.bi = 127	b0.bi = 33	8 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-284-135-35	Δ = 284	bi.bi = 135	b0.bi = 35	2 x (irr-G2-7) + 9 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-284-150-38	Δ = 284	bi.bi = 150	b0.bi = 38	1 x (irr-G2-7) + 2 x (irr-G2-14) + 5 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-284-164-34	Δ = 284	bi.bi = 164	b0.bi = 34	16 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-284-169-39	Δ = 284	bi.bi = 169	b0.bi = 39	5 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-284-172-36	Δ = 284	bi.bi = 172	b0.bi = 36	10 x (irr-G2-7) + 5 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-284-180-38	Δ = 284	bi.bi = 180	b0.bi = 38	4 x (irr-G2-7) + 8 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-284-188-40	Δ = 284	bi.bi = 188	b0.bi = 40	9 x (irr-G2-7) + 3 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-284-196-42	Δ = 284	bi.bi = 196	b0.bi = 42	3 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-284-204-44	Δ = 284	bi.bi = 204	b0.bi = 44	4 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-64)
vtx-G02-284-214-42	Δ = 284	bi.bi = 214	b0.bi = 42	7 x (irr-G2-7) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-284-222-44	Δ = 284	bi.bi = 222	b0.bi = 44	1 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-284-241-45	Δ = 284	bi.bi = 241	b0.bi = 45	5 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-284-286-48	Δ = 284	bi.bi = 286	b0.bi = 48	7 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-284-294-50	Δ = 284	bi.bi = 294	b0.bi = 50	1 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-284-385-57	Δ = 284	bi.bi = 385	b0.bi = 57	4 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-284-470-62	Δ = 284	bi.bi = 470	b0.bi = 62	3 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-285-29-17	Δ = 285	bi.bi = 29	b0.bi = 17	33 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-285-37-19	Δ = 285	bi.bi = 37	b0.bi = 19	27 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-285-45-21	Δ = 285	bi.bi = 45	b0.bi = 21	21 x (irr-G2-7) + 7 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-285-53-23	Δ = 285	bi.bi = 53	b0.bi = 23	15 x (irr-G2-7) + 10 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-285-61-25	Δ = 285	bi.bi = 61	b0.bi = 25	9 x (irr-G2-7) + 13 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-285-69-27	Δ = 285	bi.bi = 69	b0.bi = 27	3 x (irr-G2-7) + 16 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-285-83-29	Δ = 285	bi.bi = 83	b0.bi = 29	6 x (irr-G2-7) + 1 x (irr-G2-14) + 9 x (irr-G2-27)
vtx-G02-285-87-27	Δ = 285	bi.bi = 87	b0.bi = 27	18 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-285-91-31	Δ = 285	bi.bi = 91	b0.bi = 31	4 x (irr-G2-14) + 9 x (irr-G2-27)
vtx-G02-285-95-29	Δ = 285	bi.bi = 95	b0.bi = 29	12 x (irr-G2-7) + 5 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-285-103-31	Δ = 285	bi.bi = 103	b0.bi = 31	6 x (irr-G2-7) + 8 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-285-106-28	Δ = 285	bi.bi = 106	b0.bi = 28	22 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-285-111-33	Δ = 285	bi.bi = 111	b0.bi = 33	11 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-285-114-30	Δ = 285	bi.bi = 114	b0.bi = 30	16 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-285-122-32	Δ = 285	bi.bi = 122	b0.bi = 32	10 x (irr-G2-7) + 7 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-285-130-34	Δ = 285	bi.bi = 130	b0.bi = 34	4 x (irr-G2-7) + 10 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-285-137-35	Δ = 285	bi.bi = 137	b0.bi = 35	9 x (irr-G2-7) + 4 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-285-145-37	Δ = 285	bi.bi = 145	b0.bi = 37	3 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-285-151-31	Δ = 285	bi.bi = 151	b0.bi = 31	24 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-285-159-33	Δ = 285	bi.bi = 159	b0.bi = 33	18 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-285-164-38	Δ = 285	bi.bi = 164	b0.bi = 38	7 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-285-167-35	Δ = 285	bi.bi = 167	b0.bi = 35	12 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-285-172-40	Δ = 285	bi.bi = 172	b0.bi = 40	1 x (irr-G2-7) + 5 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-285-175-37	Δ = 285	bi.bi = 175	b0.bi = 37	6 x (irr-G2-7) + 9 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-285-183-39-a	Δ = 285	bi.bi = 183	b0.bi = 39	11 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-285-183-39-b	Δ = 285	bi.bi = 183	b0.bi = 39	12 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-285-191-41	Δ = 285	bi.bi = 191	b0.bi = 41	5 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-285-209-41	Δ = 285	bi.bi = 209	b0.bi = 41	9 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-285-217-43	Δ = 285	bi.bi = 217	b0.bi = 43	3 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-285-228-42	Δ = 285	bi.bi = 228	b0.bi = 42	13 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-285-236-44	Δ = 285	bi.bi = 236	b0.bi = 44	7 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-285-244-46	Δ = 285	bi.bi = 244	b0.bi = 46	1 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-285-260-50	Δ = 285	bi.bi = 260	b0.bi = 50	1 x (irr-G2-14) + 2 x (irr-G2-27) + 3 x (irr-G2-77a)
vtx-G02-285-281-47	Δ = 285	bi.bi = 281	b0.bi = 47	9 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-285-289-49	Δ = 285	bi.bi = 289	b0.bi = 49	3 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-285-305-53	Δ = 285	bi.bi = 305	b0.bi = 53	2 x (irr-G2-7) + 2 x (irr-G2-27) + 2 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-285-331-55	Δ = 285	bi.bi = 331	b0.bi = 55	3 x (irr-G2-27) + 1 x (irr-G2-64) + 2 x (irr-G2-77b)
vtx-G02-285-380-56	Δ = 285	bi.bi = 380	b0.bi = 56	6 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-285-388-58	Δ = 285	bi.bi = 388	b0.bi = 58	4 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-285-403-61	Δ = 285	bi.bi = 403	b0.bi = 61	1 x (irr-G2-14) + 2 x (irr-G2-27) + 3 x (irr-G2-77b)
vtx-G02-285-465-61	Δ = 285	bi.bi = 465	b0.bi = 61	5 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-286-24-16	Δ = 286	bi.bi = 24	b0.bi = 16	35 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-286-32-18	Δ = 286	bi.bi = 32	b0.bi = 18	29 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-286-40-20	Δ = 286	bi.bi = 40	b0.bi = 20	23 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-286-48-22	Δ = 286	bi.bi = 48	b0.bi = 22	17 x (irr-G2-7) + 11 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-286-56-24	Δ = 286	bi.bi = 56	b0.bi = 24	11 x (irr-G2-7) + 14 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-286-64-26	Δ = 286	bi.bi = 64	b0.bi = 26	5 x (irr-G2-7) + 17 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-286-74-24	Δ = 286	bi.bi = 74	b0.bi = 24	26 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-286-78-28	Δ = 286	bi.bi = 78	b0.bi = 28	8 x (irr-G2-7) + 2 x (irr-G2-14) + 8 x (irr-G2-27)
vtx-G02-286-82-26	Δ = 286	bi.bi = 82	b0.bi = 26	20 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-286-86-30	Δ = 286	bi.bi = 86	b0.bi = 30	2 x (irr-G2-7) + 5 x (irr-G2-14) + 8 x (irr-G2-27)
vtx-G02-286-90-28	Δ = 286	bi.bi = 90	b0.bi = 28	14 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-286-98-30	Δ = 286	bi.bi = 98	b0.bi = 30	8 x (irr-G2-7) + 9 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-286-101-27	Δ = 286	bi.bi = 101	b0.bi = 27	24 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-286-106-32	Δ = 286	bi.bi = 106	b0.bi = 32	2 x (irr-G2-7) + 12 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-286-109-29	Δ = 286	bi.bi = 109	b0.bi = 29	18 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-286-117-31	Δ = 286	bi.bi = 117	b0.bi = 31	12 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-286-125-33	Δ = 286	bi.bi = 125	b0.bi = 33	6 x (irr-G2-7) + 11 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-286-132-34	Δ = 286	bi.bi = 132	b0.bi = 34	11 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-286-133-35	Δ = 286	bi.bi = 133	b0.bi = 35	14 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-286-140-36	Δ = 286	bi.bi = 140	b0.bi = 36	5 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-286-146-30	Δ = 286	bi.bi = 146	b0.bi = 30	26 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-286-151-35	Δ = 286	bi.bi = 151	b0.bi = 35	15 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-286-154-32	Δ = 286	bi.bi = 154	b0.bi = 32	20 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-286-159-37	Δ = 286	bi.bi = 159	b0.bi = 37	9 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-286-162-34	Δ = 286	bi.bi = 162	b0.bi = 34	14 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-286-167-39	Δ = 286	bi.bi = 167	b0.bi = 39	3 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-286-170-36	Δ = 286	bi.bi = 170	b0.bi = 36	8 x (irr-G2-7) + 10 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-286-178-38-a	Δ = 286	bi.bi = 178	b0.bi = 38	2 x (irr-G2-7) + 13 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-286-178-38-b	Δ = 286	bi.bi = 178	b0.bi = 38	13 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-286-186-40	Δ = 286	bi.bi = 186	b0.bi = 40	7 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-286-194-42	Δ = 286	bi.bi = 194	b0.bi = 42	1 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-286-204-40	Δ = 286	bi.bi = 204	b0.bi = 40	11 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-286-209-45	Δ = 286	bi.bi = 209	b0.bi = 45	1 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-286-212-42	Δ = 286	bi.bi = 212	b0.bi = 42	5 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-286-223-41	Δ = 286	bi.bi = 223	b0.bi = 41	15 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-286-228-46	Δ = 286	bi.bi = 228	b0.bi = 46	4 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 2 x (irr-G2-77a)
vtx-G02-286-231-43	Δ = 286	bi.bi = 231	b0.bi = 43	9 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-286-239-45	Δ = 286	bi.bi = 239	b0.bi = 45	3 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-286-254-48	Δ = 286	bi.bi = 254	b0.bi = 48	2 x (irr-G2-7) + 3 x (irr-G2-27) + 2 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-286-255-49	Δ = 286	bi.bi = 255	b0.bi = 49	2 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 3 x (irr-G2-77a)
vtx-G02-286-268-44	Δ = 286	bi.bi = 268	b0.bi = 44	17 x (irr-G2-7) + 1 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-286-276-46	Δ = 286	bi.bi = 276	b0.bi = 46	11 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-286-281-51	Δ = 286	bi.bi = 281	b0.bi = 51	2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-286-284-48	Δ = 286	bi.bi = 284	b0.bi = 48	5 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-286-300-52	Δ = 286	bi.bi = 300	b0.bi = 52	4 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-286-326-54	Δ = 286	bi.bi = 326	b0.bi = 54	2 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 2 x (irr-G2-77b)
vtx-G02-286-345-55	Δ = 286	bi.bi = 345	b0.bi = 55	6 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a) + 2 x (irr-G2-77b)
vtx-G02-286-353-57	Δ = 286	bi.bi = 353	b0.bi = 57	3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a) + 2 x (irr-G2-77b)
vtx-G02-286-375-55	Δ = 286	bi.bi = 375	b0.bi = 55	8 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-286-383-57	Δ = 286	bi.bi = 383	b0.bi = 57	2 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-286-398-60	Δ = 286	bi.bi = 398	b0.bi = 60	2 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 3 x (irr-G2-77b)
