vtx-C05-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-C5-55)
vtx-C05-428-36-22	Δ = 428	bi.bi = 36	b0.bi = 22	1 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-55) + 4 x (irr-C5-132-h) + 1 x (irr-C5-220-h)
vtx-C05-444-14-14	Δ = 444	bi.bi = 14	b0.bi = 14	7 x (irr-C5-10) + 7 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-445-10-12	Δ = 445	bi.bi = 10	b0.bi = 12	17 x (irr-C5-10) + 5 x (irr-C5-44) + 1 x (irr-C5-110)
vtx-C05-447-18-16	Δ = 447	bi.bi = 18	b0.bi = 16	4 x (irr-C5-10) + 4 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-448-14-14	Δ = 448	bi.bi = 14	b0.bi = 14	14 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-110)
vtx-C05-448-17-15	Δ = 448	bi.bi = 17	b0.bi = 15	14 x (irr-C5-10) + 2 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-165)
vtx-C05-449-8-10	Δ = 449	bi.bi = 8	b0.bi = 10	35 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-132-h)
vtx-C05-449-24-18	Δ = 449	bi.bi = 24	b0.bi = 18	8 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-450-22-18	Δ = 450	bi.bi = 22	b0.bi = 18	1 x (irr-C5-10) + 1 x (irr-C5-44) + 3 x (irr-C5-55) + 1 x (irr-C5-132-h) + 2 x (irr-C5-110)
vtx-C05-450-23-17	Δ = 450	bi.bi = 23	b0.bi = 17	18 x (irr-C5-10) + 1 x (irr-C5-320-h) + 1 x (irr-C5-165)
vtx-C05-450-25-19	Δ = 450	bi.bi = 25	b0.bi = 19	1 x (irr-C5-10) + 1 x (irr-C5-44) + 4 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-165)
vtx-C05-450-34-22	Δ = 450	bi.bi = 34	b0.bi = 22	1 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-220-h) + 1 x (irr-C5-165)
vtx-C05-451-16-14	Δ = 451	bi.bi = 16	b0.bi = 14	22 x (irr-C5-10) + 1 x (irr-C5-44) + 2 x (irr-C5-55) + 2 x (irr-C5-132-h)
vtx-C05-453-24-18	Δ = 453	bi.bi = 24	b0.bi = 18	9 x (irr-C5-10) + 4 x (irr-C5-55) + 3 x (irr-C5-132-h)
vtx-C05-453-33-21	Δ = 453	bi.bi = 33	b0.bi = 21	9 x (irr-C5-10) + 3 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-220-h)
vtx-C05-468-15-15	Δ = 468	bi.bi = 15	b0.bi = 15	5 x (irr-C5-10) + 8 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-469-11-13	Δ = 469	bi.bi = 11	b0.bi = 13	15 x (irr-C5-10) + 6 x (irr-C5-44) + 1 x (irr-C5-110)
vtx-C05-471-19-17	Δ = 471	bi.bi = 19	b0.bi = 17	2 x (irr-C5-10) + 5 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-472-15-15	Δ = 472	bi.bi = 15	b0.bi = 15	12 x (irr-C5-10) + 3 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-110)
vtx-C05-472-18-16	Δ = 472	bi.bi = 18	b0.bi = 16	12 x (irr-C5-10) + 3 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-165)
vtx-C05-473-9-11	Δ = 473	bi.bi = 9	b0.bi = 11	33 x (irr-C5-10) + 3 x (irr-C5-44) + 1 x (irr-C5-132-h)
vtx-C05-473-25-19	Δ = 473	bi.bi = 25	b0.bi = 19	6 x (irr-C5-10) + 3 x (irr-C5-44) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-474-24-18	Δ = 474	bi.bi = 24	b0.bi = 18	16 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-320-h) + 1 x (irr-C5-165)
