vtx-A07-n27-n1-n1	Δ = -27	bi.bi = -1	b0.bi = -1	1 x (irr-A7-36)
vtx-A07-257-8-8	Δ = 257	bi.bi = 8	b0.bi = 8	18 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-261-5-7	Δ = 261	bi.bi = 5	b0.bi = 7	16 x (irr-A7-8) + 7 x (irr-A7-28)
vtx-A07-261-12-10	Δ = 261	bi.bi = 12	b0.bi = 10	9 x (irr-A7-8) + 1 x (irr-A7-56) + 2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-262-12-10	Δ = 262	bi.bi = 12	b0.bi = 10	9 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-56) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-263-4-6	Δ = 263	bi.bi = 4	b0.bi = 6	32 x (irr-A7-8) + 1 x (irr-A7-70)
vtx-A07-263-12-10	Δ = 263	bi.bi = 12	b0.bi = 10	9 x (irr-A7-8) + 2 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-56) + 1 x (irr-A7-70)
vtx-A07-263-24-14-a	Δ = 263	bi.bi = 24	b0.bi = 14	5 x (irr-A7-8) + 1 x (irr-A7-70) + 1 x (irr-A7-216)
vtx-A07-263-24-14-b	Δ = 263	bi.bi = 24	b0.bi = 14	4 x (irr-A7-8) + 1 x (irr-A7-56) + 1 x (irr-A7-70) + 1 x (irr-A7-168)
vtx-A07-265-12-10	Δ = 265	bi.bi = 12	b0.bi = 10	11 x (irr-A7-8) + 2 x (irr-A7-36) + 3 x (irr-A7-56)
vtx-A07-266-16-12	Δ = 266	bi.bi = 16	b0.bi = 12	3 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-267-16-12	Δ = 267	bi.bi = 16	b0.bi = 12	1 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-268-9-9	Δ = 268	bi.bi = 9	b0.bi = 9	9 x (irr-A7-8) + 5 x (irr-A7-28) + 1 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-268-16-12	Δ = 268	bi.bi = 16	b0.bi = 12	2 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-269-9-9	Δ = 269	bi.bi = 9	b0.bi = 9	9 x (irr-A7-8) + 6 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-56)
vtx-A07-269-16-12	Δ = 269	bi.bi = 16	b0.bi = 12	3 x (irr-A7-28) + 3 x (irr-A7-36) + 2 x (irr-A7-70)
vtx-A07-270-16-12	Δ = 270	bi.bi = 16	b0.bi = 12	2 x (irr-A7-8) + 2 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-271-16-12	Δ = 271	bi.bi = 16	b0.bi = 12	2 x (irr-A7-8) + 1 x (irr-A7-28) + 3 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-70)
vtx-A07-273-13-11	Δ = 273	bi.bi = 13	b0.bi = 11	5 x (irr-A7-28) + 2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-273-64-24	Δ = 273	bi.bi = 64	b0.bi = 24	1 x (irr-A7-336)
vtx-A07-274-13-11	Δ = 274	bi.bi = 13	b0.bi = 11	6 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-275-13-11-a	Δ = 275	bi.bi = 13	b0.bi = 11	7 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-275-13-11-b	Δ = 275	bi.bi = 13	b0.bi = 11	2 x (irr-A7-8) + 3 x (irr-A7-28) + 2 x (irr-A7-56) + 2 x (irr-A7-63)
vtx-A07-276-13-11	Δ = 276	bi.bi = 13	b0.bi = 11	2 x (irr-A7-8) + 4 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-277-5-7	Δ = 277	bi.bi = 5	b0.bi = 7	25 x (irr-A7-8) + 3 x (irr-A7-28) + 1 x (irr-A7-56)
vtx-A07-277-12-10	Δ = 277	bi.bi = 12	b0.bi = 10	16 x (irr-A7-8) + 2 x (irr-A7-36) + 2 x (irr-A7-70)
vtx-A07-277-13-11	Δ = 277	bi.bi = 13	b0.bi = 11	2 x (irr-A7-8) + 5 x (irr-A7-28) + 2 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-280-10-10	Δ = 280	bi.bi = 10	b0.bi = 10	10 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-281-10-10	Δ = 281	bi.bi = 10	b0.bi = 10	11 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-282-9-9	Δ = 282	bi.bi = 9	b0.bi = 9	16 x (irr-A7-8) + 3 x (irr-A7-28) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-283-9-9	Δ = 283	bi.bi = 9	b0.bi = 9	16 x (irr-A7-8) + 4 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-284-9-9	Δ = 284	bi.bi = 9	b0.bi = 9	18 x (irr-A7-8) + 1 x (irr-A7-28) + 2 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-285-9-9	Δ = 285	bi.bi = 9	b0.bi = 9	18 x (irr-A7-8) + 2 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-289-6-8	Δ = 289	bi.bi = 6	b0.bi = 8	16 x (irr-A7-8) + 8 x (irr-A7-28)
vtx-A07-289-13-11	Δ = 289	bi.bi = 13	b0.bi = 11	9 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-56) + 2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-290-13-11	Δ = 290	bi.bi = 13	b0.bi = 11	9 x (irr-A7-8) + 2 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-56) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-291-5-7	Δ = 291	bi.bi = 5	b0.bi = 7	32 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-70)
vtx-A07-291-13-11	Δ = 291	bi.bi = 13	b0.bi = 11	9 x (irr-A7-8) + 3 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-56) + 1 x (irr-A7-70)
vtx-A07-291-20-14	Δ = 291	bi.bi = 20	b0.bi = 14	4 x (irr-A7-36) + 3 x (irr-A7-70)
vtx-A07-291-25-15-a	Δ = 291	bi.bi = 25	b0.bi = 15	5 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-70) + 1 x (irr-A7-216)
vtx-A07-291-25-15-b	Δ = 291	bi.bi = 25	b0.bi = 15	4 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-56) + 1 x (irr-A7-70) + 1 x (irr-A7-168)
vtx-A07-292-13-11	Δ = 292	bi.bi = 13	b0.bi = 11	11 x (irr-A7-8) + 1 x (irr-A7-36) + 3 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-293-13-11	Δ = 293	bi.bi = 13	b0.bi = 11	11 x (irr-A7-8) + 1 x (irr-A7-28) + 2 x (irr-A7-36) + 3 x (irr-A7-56)
vtx-A07-294-17-13	Δ = 294	bi.bi = 17	b0.bi = 13	1 x (irr-A7-28) + 3 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-295-17-13	Δ = 295	bi.bi = 17	b0.bi = 13	2 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-296-10-10	Δ = 296	bi.bi = 10	b0.bi = 10	9 x (irr-A7-8) + 6 x (irr-A7-28) + 1 x (irr-A7-56) + 1 x (irr-A7-63)
