vtx-A09-n24-n1-n1	Δ = -24	bi.bi = -1	b0.bi = -1	2 x (irr-A9-10) + 1 x (irr-A9-55)
vtx-A09-250-8-8	Δ = 250	bi.bi = 8	b0.bi = 8	4 x (irr-A9-10) + 2 x (irr-A9-45) + 1 x (irr-A9-99) + 1 x (irr-A9-120)
vtx-A09-251-4-6	Δ = 251	bi.bi = 4	b0.bi = 6	8 x (irr-A9-10) + 6 x (irr-A9-45)
vtx-A09-251-8-8	Δ = 251	bi.bi = 8	b0.bi = 8	4 x (irr-A9-10) + 3 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-120)
vtx-A09-251-11-9	Δ = 251	bi.bi = 11	b0.bi = 9	7 x (irr-A9-10) + 1 x (irr-A9-55) + 1 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-251-12-10	Δ = 251	bi.bi = 12	b0.bi = 10	2 x (irr-A9-55) + 2 x (irr-A9-120)
vtx-A09-252-11-9	Δ = 252	bi.bi = 11	b0.bi = 9	7 x (irr-A9-10) + 1 x (irr-A9-45) + 2 x (irr-A9-55) + 1 x (irr-A9-252-h)
vtx-A09-275-9-9	Δ = 275	bi.bi = 9	b0.bi = 9	2 x (irr-A9-10) + 3 x (irr-A9-45) + 1 x (irr-A9-99) + 1 x (irr-A9-120)
vtx-A09-275-12-10	Δ = 275	bi.bi = 12	b0.bi = 10	5 x (irr-A9-10) + 2 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-276-5-7	Δ = 276	bi.bi = 5	b0.bi = 7	6 x (irr-A9-10) + 7 x (irr-A9-45)
vtx-A09-276-9-9	Δ = 276	bi.bi = 9	b0.bi = 9	2 x (irr-A9-10) + 4 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-120)
