clq-(3,0)-(1,0)-220-b1b6515f	[vtx-A03-83-1-3, vtx-A04-101-1-3, vtx-A04-101-1-3]	Δ = 220	Δ+28n = 220	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-A4-5) + 3 x (irr-A4-10)	(3) : 10 x (irr-A4-5) + 3 x (irr-A4-10)	(1,2) : 1 x (irr-A3-4, irr-A4-5)	(2,3) : 1 x (irr-A4-5, irr-A4-5)	(1,3) : 1 x (irr-A3-4, irr-A4-5)
clq-(3,0)-(1,0)-220-15cadcf2	[vtx-A03-83-1-3, vtx-A05-121-1-3, vtx-C02-80-1-3]	Δ = 220	Δ+28n = 220	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 13 x (irr-A5-6) + 3 x (irr-A5-20-h)	(3) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A5-6, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)
clq-(3,0)-(1,0)-221-184262dd	[vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A05-119-1-3]	Δ = 221	Δ+28n = 221	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 11 x (irr-A5-6) + 1 x (irr-A5-20-h) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
clq-(3,0)-(1,0)-221-3001c16e	[vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-119-1-3]	Δ = 221	Δ+28n = 221	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 13 x (irr-C3-6) + 1 x (irr-C3-14b)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-C3-6)	(1,3) : 1 x (irr-A3-4, irr-C3-6)
clq-(3,0)-(1,0)-222-7c776979	[vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A05-120-1-3]	Δ = 222	Δ+28n = 222	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 12 x (irr-A5-6) + 2 x (irr-A5-20-h) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
clq-(3,0)-(1,0)-222-fd2ec908	[vtx-A04-101-1-3, vtx-C02-80-1-3, vtx-C03-115-1-3]	Δ = 222	Δ+28n = 222	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 9 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 9 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 9 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A4-5, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-A4-5, irr-C3-6)
clq-(3,0)-(1,0)-222-b6ffe93a	[vtx-A06-134-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 222	Δ+28n = 222	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 9 x (irr-A6-7) + 3 x (irr-A6-21)	(2) : 9 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 9 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A6-7, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A6-7, irr-C2-4)
clq-(3,0)-(1,0)-223-5d4d6643	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-143-4-6]	Δ = 223	Δ+28n = 223	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 2], [1, 1, 2], [2, 2, 4]]	b0.bi = [3, 3, 6]	(1) : 8 x (irr-C2-4) + 2 x (irr-C2-5)	(2) : 8 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 16 x (irr-C2-4) + 5 x (irr-C2-5)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 2 x (irr-C2-4, irr-C2-4)	(1,3) : 2 x (irr-C2-4, irr-C2-4)
clq-(3,0)-(1,0)-223-a46d7d39	[vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A05-121-1-3]	Δ = 223	Δ+28n = 223	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 13 x (irr-A5-6) + 3 x (irr-A5-20-h)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
clq-(3,0)-(1,0)-225-7a6b55f0	[vtx-A03-83-1-3, vtx-A04-101-1-3, vtx-C03-115-1-3]	Δ = 225	Δ+28n = 225	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 9 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 9 x (irr-A4-5) + 3 x (irr-A4-10)	(3) : 9 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A4-5)	(2,3) : 1 x (irr-A4-5, irr-C3-6)	(1,3) : 1 x (irr-A3-4, irr-C3-6)
clq-(3,0)-(1,0)-225-6e79609b	[vtx-A03-83-1-3, vtx-A06-134-1-3, vtx-C02-80-1-3]	Δ = 225	Δ+28n = 225	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 9 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 9 x (irr-A6-7) + 3 x (irr-A6-21)	(3) : 9 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-A6-7)	(2,3) : 1 x (irr-A6-7, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)
clq-(3,0)-(1,0)-225-397ddf5d	[vtx-A04-101-1-3, vtx-A05-118-1-3, vtx-C02-80-1-3]	Δ = 225	Δ+28n = 225	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 9 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 9 x (irr-A5-6) + 3 x (irr-A5-15)	(3) : 9 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A4-5, irr-A5-6)	(2,3) : 1 x (irr-A5-6, irr-C2-4)	(1,3) : 1 x (irr-A4-5, irr-C2-4)
