clq-(1,0)-(1,0)-183-63e90504	[vtx-D05-183-4-6]	Δ = 183	Δ+28n = 183	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 10 x (irr-D5-10) + 8 x (irr-D5-16)
clq-(1,0)-(1,0)-188-bc53bf6c	[vtx-A10-188-1-3]	Δ = 188	Δ+28n = 188	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 13 x (irr-A10-11) + 3 x (irr-A10-55)
clq-(1,0)-(1,0)-189-b6ed2bfd	[vtx-C02-189-9-9]	Δ = 189	Δ+28n = 189	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 36 x (irr-C2-4) + 9 x (irr-C2-5) + 1 x (irr-C2-10)
clq-(1,0)-(1,0)-189-79914d06	[vtx-G02-189-9-9]	Δ = 189	Δ+28n = 189	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 27 x (irr-G2-7) + 1 x (irr-G2-14)
clq-(1,0)-(1,0)-192-77ecdb2f	[vtx-E06-192-4-6]	Δ = 192	Δ+28n = 192	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 10 x (irr-E6-27)
clq-(1,0)-(1,0)-193-fd15d516	[vtx-C03-193-4-6]	Δ = 193	Δ+28n = 193	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 24 x (irr-C3-6) + 5 x (irr-C3-14a)
clq-(1,0)-(1,0)-194-9e037925	[vtx-B05-194-4-6]	Δ = 194	Δ+28n = 194	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 11 x (irr-B5-11) + 8 x (irr-B5-32-h)
clq-(1,0)-(1,0)-196-c9a11535	[vtx-C06-196-1-3]	Δ = 196	Δ+28n = 196	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 12 x (irr-C6-12) + 2 x (irr-C6-65)
clq-(1,0)-(1,0)-196-e9dce381	[vtx-C02-196-9-9]	Δ = 196	Δ+28n = 196	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 42 x (irr-C2-4) + 6 x (irr-C2-5) + 1 x (irr-C2-16-h)
clq-(1,0)-(1,0)-197-ead11f16	[vtx-C03-197-4-6]	Δ = 197	Δ+28n = 197	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 27 x (irr-C3-6) + 3 x (irr-C3-14a) + 1 x (irr-C3-14b)
clq-(1,0)-(1,0)-198-e6ee2882	[vtx-A03-198-9-9]	Δ = 198	Δ+28n = 198	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 36 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-15)
clq-(1,0)-(1,0)-199-545d0b37	[vtx-A11-199-1-3]	Δ = 199	Δ+28n = 199	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 12 x (irr-A11-12) + 3 x (irr-A11-66)
clq-(1,0)-(1,0)-199-5da7d840	[vtx-A05-199-4-6]	Δ = 199	Δ+28n = 199	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 24 x (irr-A5-6) + 6 x (irr-A5-15)
clq-(1,0)-(1,0)-199-cf435b76	[vtx-A03-199-9-9]	Δ = 199	Δ+28n = 199	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 36 x (irr-A3-4) + 10 x (irr-A3-6) + 1 x (irr-A3-10)
clq-(1,0)-(1,0)-200-e52aa190	[vtx-A05-200-4-6]	Δ = 200	Δ+28n = 200	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 25 x (irr-A5-6) + 1 x (irr-A5-20-h) + 5 x (irr-A5-15)
clq-(1,0)-(1,0)-201-a3ed673c	[vtx-A05-201-4-6]	Δ = 201	Δ+28n = 201	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 26 x (irr-A5-6) + 2 x (irr-A5-20-h) + 4 x (irr-A5-15)
clq-(1,0)-(1,0)-201-e782658d	[vtx-C03-201-4-6]	Δ = 201	Δ+28n = 201	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 30 x (irr-C3-6) + 1 x (irr-C3-14a) + 2 x (irr-C3-14b)
clq-(1,0)-(1,0)-202-7ce5405f	[vtx-A05-202-4-6]	Δ = 202	Δ+28n = 202	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 27 x (irr-A5-6) + 3 x (irr-A5-20-h) + 3 x (irr-A5-15)
clq-(1,0)-(1,0)-203-4232cbf8	[vtx-A05-203-4-6]	Δ = 203	Δ+28n = 203	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 28 x (irr-A5-6) + 4 x (irr-A5-20-h) + 2 x (irr-A5-15)
clq-(1,0)-(1,0)-203-61c53127	[vtx-E07-203-4-6]	Δ = 203	Δ+28n = 203	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 12 x (irr-E7-56-h)
clq-(1,0)-(1,0)-204-abe2a93b	[vtx-A05-204-4-6]	Δ = 204	Δ+28n = 204	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 29 x (irr-A5-6) + 5 x (irr-A5-20-h) + 1 x (irr-A5-15)
clq-(1,0)-(1,0)-205-0d3b2bf5	[vtx-A05-205-4-6]	Δ = 205	Δ+28n = 205	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 30 x (irr-A5-6) + 6 x (irr-A5-20-h)
