clq-(2,0)-(1,0)-191-dfbf6590	[vtx-C02-80-1-3, vtx-C02-143-4-6]	Δ = 191	Δ+28n = 191	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 2], [2, 4]]	b0.bi = [3, 6]	(1) : 12 x (irr-C2-4) + 2 x (irr-C2-5)	(2) : 24 x (irr-C2-4) + 5 x (irr-C2-5)	(1,2) : 2 x (irr-C2-4, irr-C2-4)
clq-(2,0)-(1,0)-191-7b015fd7	[vtx-A04-101-1-3, vtx-A05-120-1-3]	Δ = 191	Δ+28n = 191	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 15 x (irr-A5-6) + 2 x (irr-A5-20-h) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A4-5, irr-A5-6)
clq-(2,0)-(1,0)-192-1cb3986e	[vtx-C02-80-1-3, vtx-G02-140-4-6]	Δ = 192	Δ+28n = 192	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 2], [2, 4]]	b0.bi = [3, 6]	(1) : 13 x (irr-C2-4) + 2 x (irr-C2-5)	(2) : 18 x (irr-G2-7)	(1,2) : 1 x (irr-C2-4, irr-G2-7)
clq-(2,0)-(1,0)-192-e594badf	[vtx-A04-101-1-3, vtx-A05-121-1-3]	Δ = 192	Δ+28n = 192	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 16 x (irr-A5-6) + 3 x (irr-A5-20-h)	(1,2) : 1 x (irr-A4-5, irr-A5-6)
clq-(2,0)-(1,0)-192-a9453e15	[vtx-C02-143-4-6, vtx-G02-77-1-3]	Δ = 192	Δ+28n = 192	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4, 2], [2, 1]]	b0.bi = [6, 3]	(1) : 25 x (irr-C2-4) + 5 x (irr-C2-5)	(2) : 9 x (irr-G2-7)	(1,2) : 1 x (irr-C2-4, irr-G2-7)
clq-(2,0)-(1,0)-193-e2932b26	[vtx-A06-141-1-3, vtx-C02-80-1-3]	Δ = 193	Δ+28n = 193	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 18 x (irr-A6-7) + 1 x (irr-A6-35)	(2) : 13 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A6-7, irr-C2-4)
clq-(2,0)-(1,0)-194-719386e4	[vtx-C02-80-1-3, vtx-C04-146-1-3]	Δ = 194	Δ+28n = 194	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 12 x (irr-C2-4) + 2 x (irr-C2-5)	(2) : 12 x (irr-C4-8) + 2 x (irr-C4-27)	(1,2) : 1 x (irr-C2-4, irr-C4-8)
clq-(2,0)-(1,0)-194-f8ca4226	[vtx-A03-83-1-3, vtx-C02-143-4-6]	Δ = 194	Δ+28n = 194	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 2], [2, 4]]	b0.bi = [3, 6]	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 24 x (irr-C2-4) + 5 x (irr-C2-5)	(1,2) : 2 x (irr-A3-4, irr-C2-4)
clq-(2,0)-(1,0)-194-8f3dc339	[vtx-C03-115-1-3, vtx-C03-115-1-3]	Δ = 194	Δ+28n = 194	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 12 x (irr-C3-6) + 2 x (irr-C3-14a)	(2) : 12 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-C3-6, irr-C3-6)
clq-(2,0)-(1,0)-195-0e2a38d2	[vtx-A03-83-1-3, vtx-G02-140-4-6]	Δ = 195	Δ+28n = 195	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 2], [2, 4]]	b0.bi = [3, 6]	(1) : 13 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 18 x (irr-G2-7)	(1,2) : 1 x (irr-A3-4, irr-G2-7)
clq-(2,0)-(1,0)-196-104fc64f	[vtx-A03-83-1-3, vtx-A06-141-1-3]	Δ = 196	Δ+28n = 196	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 18 x (irr-A6-7) + 1 x (irr-A6-35)	(1,2) : 1 x (irr-A3-4, irr-A6-7)
clq-(2,0)-(1,0)-197-54ef7b94	[vtx-A03-83-1-3, vtx-C04-146-1-3]	Δ = 197	Δ+28n = 197	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 12 x (irr-C4-8) + 2 x (irr-C4-27)	(1,2) : 1 x (irr-A3-4, irr-C4-8)
clq-(2,0)-(1,0)-197-60b94b87	[vtx-A05-118-1-3, vtx-C03-115-1-3]	Δ = 197	Δ+28n = 197	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 12 x (irr-A5-6) + 3 x (irr-A5-15)	(2) : 12 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A5-6, irr-C3-6)
clq-(2,0)-(1,0)-197-30908a46	[vtx-A07-149-1-3, vtx-C02-80-1-3]	Δ = 197	Δ+28n = 197	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 12 x (irr-A7-8) + 3 x (irr-A7-28)	(2) : 12 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A7-8, irr-C2-4)
clq-(2,0)-(1,0)-197-c69c7e53	[vtx-A03-149-4-6, vtx-C02-80-1-3]	Δ = 197	Δ+28n = 197	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4, 2], [2, 1]]	b0.bi = [6, 3]	(1) : 24 x (irr-A3-4) + 6 x (irr-A3-6)	(2) : 12 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 2 x (irr-A3-4, irr-C2-4)
clq-(2,0)-(1,0)-198-c4fa368f	[vtx-B03-87-1-3, vtx-C02-143-4-6]	Δ = 198	Δ+28n = 198	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 2], [2, 4]]	b0.bi = [3, 6]	(1) : 4 x (irr-B3-7) + 6 x (irr-B3-8)	(2) : 24 x (irr-C2-4) + 5 x (irr-C2-5)	(1,2) : 1 x (irr-B3-8, irr-C2-4)
clq-(2,0)-(1,0)-198-303bb438	[vtx-A05-119-1-3, vtx-C03-115-1-3]	Δ = 198	Δ+28n = 198	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A5-6) + 1 x (irr-A5-20-h) + 2 x (irr-A5-15)	(2) : 12 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A5-6, irr-C3-6)
clq-(2,0)-(1,0)-198-8dac5fe7	[vtx-C03-119-1-3, vtx-C03-115-1-3]	Δ = 198	Δ+28n = 198	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 15 x (irr-C3-6) + 1 x (irr-C3-14b)	(2) : 12 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-C3-6, irr-C3-6)
clq-(2,0)-(1,0)-198-317f74f3	[vtx-A03-149-4-6, vtx-G02-77-1-3]	Δ = 198	Δ+28n = 198	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4, 2], [2, 1]]	b0.bi = [6, 3]	(1) : 25 x (irr-A3-4) + 6 x (irr-A3-6)	(2) : 9 x (irr-G2-7)	(1,2) : 1 x (irr-A3-4, irr-G2-7)
